Brand	Model	Unblock	Gold	ToUpgrade
Dodge	Challenger Pack 392 Hemi Scat	1	1	0
Dodge	Challenger SRT8	1	1	0
Dodge	Charger SRT Hellcat Redeye Widebody	1	0	0
Dodge	Viper ACR	1	1	0
Dodge	Viper GTS	1	1	0
Donkervoort	D8 GTO	1	0	0
Drako	GTE	1	0	0
DS Automobiles	DS E-Tense	1	1	0
DS Automobiles	E-TENSE Performance	0	0	0
Exotic Rides	W70	1	1	0
Faraday Future	FFZero1	1	0	0
Ferrante Design	Elytron	0	0	0
Ferrari	12 Cilindri	0	0	0
Ferrari	296 GTB	1	1	0
Ferrari	488 GTB	1	1	0
Ferrari	488 GTB Challenge EVO	1	0	0
Ferrari	499P Modificata	1	0	0
Ferrari	599XX EVO	1	0	0
Ferrari	812 Superfast	1	1	0
Ferrari	Daytona SP3	1	0	0
Ferrari	Enzo Ferrari	1	1	0
Ferrari	F12 Berlinetta	1	0	1
Ferrari	F12TDF	1	1	0
Ferrari	F40	1	0	0
Ferrari	F50	1	0	0
Ferrari	F8 Tributo	1	0	0
Ferrari	FXX K	1	1	0
Ferrari	J50	1	1	0
Ferrari	LaFerrari	1	1	0
Ferrari	LaFerrari Aperta	1	1	0
Ferrari	Monza SP1	1	1	0
Ferrari	Roma	1	0	0
Ferrari	SF90 Stradale	1	1	0
Ferrari	SF90 XX Stradale	1	0	0
Ford	GT	1	1	0
Ford	GT Frankie Edition	1	0	1
Ford	GT MK II	1	0	0
Ford	GT MK IV	1	0	0
Ford	Mustang Mach-E1400	1	0	0
Ford	Mustang RTR Spec 5 10th Anniversary	0	0	0
Ford	Mustang RTR Spec 5-FD	1	0	0
Ford	Shelby GR-1	1	1	0
Ford	Shelby GT350R	1	1	0
Ford	Shelby Super Snake	1	0	1
Ford	Team Fordzilla P1	1	0	0
Formule E	GEN 2 Asphalt Édition	1	1	0
Formule E	GEN 3 EVO Championship Edition	1	0	0
FV Frangivento	Asfanè	1	0	1
FV Frangivento	GT65	1	0	0
FV Frangivento	Sorpasso GT3	0	0	0
Genty	Akylone	1	1	0
Ginetta	G60	1	1	0
Glickenhaus	003S	1	1	0
Glickenhaus	004C	1	1	0
Glickenhaus	007S	1	1	0
Hennessey	Venom F5	1	0	1
Honda	Civic Type-R	1	1	0
HTT	Locus Pléthore LC750	1	0	0
Hyundai	Ioniq 5 N	1	0	1
Hyundai	N Vision 74 Concept	0	0	0
Icona	Vulcano Spyder	0	0	0
Icona	Vulcano Titanium	1	1	0
Inferno Automobili	Inferno	1	0	0
Inferno Automobili	Settimo Cerchio	0	0	0
Infiniti	Projet Black S	1	0	0
Italdesign	DaVinci	1	0	1
Italdesign	Zerouno	1	1	0
Jaguar	C-X75	1	0	1
Jaguar	F-Type SVR	1	1	0
Jaguar	XE SV Project 8	0	0	0
Jaguar	XJ220S TWR	0	0	0
Jaguar	XJR-15	1	0	1
Jaguar	XJR-9	0	0	0
Jaguar	XKR-S GT	1	0	0
Kepler	Motion	1	0	0
Kimera	EVO37	0	0	0
Koenigsegg	Agera RS	1	0	0
Koenigsegg	CC850	0	0	0
Koenigsegg	CCXR	0	0	0
Koenigsegg	Chimera	0	0	0
Koenigsegg	Gemera	1	0	0
Koenigsegg	Jesko	1	0	0
Koenigsegg	Jesko Absolut	0	0	0
Koenigsegg	One:1	1	0	0
Koenigsegg	Regera	1	1	0
KTM	X-Bow GTX	1	1	1
Lamborghini	Asterion	1	0	0
Lamborghini	Autentica	1	0	0
Lamborghini	Aventador J	1	1	0
Lamborghini	Aventador SV Coupé	1	1	0
Lamborghini	Aventador SVJ Roadster	1	0	0
Lamborghini	Centenario	1	1	0
Lamborghini	Countach 25th Anniversary	1	0	1
Lamborghini	Countach LPI 800-4	0	0	0
Lamborghini	Diablo GT	1	0	0
Lamborghini	Egoista	1	1	0
Lamborghini	Essenza SCV12	1	1	0
Lamborghini	Gallardo LP560-4	1	1	0
Lamborghini	Huracán Evo Spyder	1	1	0
Lamborghini	Huracán Sterrato	0	0	0
Lamborghini	Huracán STO	0	0	0
Lamborghini	Huracán Super Trofeo Evo	1	0	0
Lamborghini	Invencible	1	1	0
Lamborghini	Miura Concept	1	0	0
Lamborghini	Murcielago LP 640 Roadster	1	1	0
Lamborghini	Reventón Roadster	1	0	0
Lamborghini	Revuelto	1	1	0
Lamborghini	SC18	1	0	1
Lamborghini	SC20	0	0	0
Lamborghini	SC63	1	0	0
Lamborghini	Sesto Elemento	1	0	0
Lamborghini	Sián FKP 37	1	0	0
Lamborghini	Temerario	1	1	0
Lamborghini	Terzo Millennio	1	1	0
Lamborghini	Veneno	1	0	0
Lego Technic	Aston Martin Valkyrie	1	0	1
Lego Technic	BMW M4 GT3 EVO	1	0	0
Lego Technic	Bugatti Chiron Pur Sport	1	0	0
Lego Technic	Chevrolet Corvette Stingray	1	0	0
Lego Technic	Ferrari FXX K	1	0	0
Lego Technic	Lamborghini Revuelto	1	0	1
Lego Technic	McLaren Senna GTR	0	0	0
Lexus	Electrified Sport Concept	1	0	0
Lexus	LFA Nürburgring Package	1	0	0
Lotus	E-R9	0	0	1
Lotus	Elise Sprint 220	1	1	0
Lotus	Emeya	1	0	0
Lotus	Emira	1	1	0
Lotus	Evija	1	0	0
Lotus	Evora Sport 410	1	1	0
Maserati	Alfieri	1	1	0
Maserati	MC12	0	0	0
Maserati	MC20	1	0	0
Maserati	MC20 GT2	0	0	0
Mazda	Furai	1	1	0
Mazzanti	Evantra Millecavalli	0	0	0
McLaren	570S Spider	1	1	0
McLaren	600LT Spider	1	0	0
McLaren	650S GT3	1	0	0
McLaren	750S Coupé	1	0	0
McLaren	765LT	1	0	0
McLaren	Artura	1	0	0
McLaren	Elva	1	0	0
McLaren	F1 LM	1	1	0
McLaren	GT	1	1	0
McLaren	P1	1	1	0
McLaren	Sabre	1	0	0
McLaren	Senna	1	0	0
McLaren	Senna GTR	1	1	0
McLaren	Solus GT	1	0	0
McLaren	Speedtail	1	0	0
McMurtry	Spéirling	1	0	0
Mercedes-Benz	2022 Showcar Vision AMG	1	0	0
Mercedes-Benz	AMG GT Black Series	1	1	0
Mercedes-Benz	AMG GT S	1	1	0
Mercedes-Benz	C 63 AMG DTM	0	0	0
Mercedes-Benz	C11	0	0	0
Mercedes-Benz	CLK-GTR	1	0	0
Mercedes-Benz	Mercedes-AMG ONE	1	0	0
Mercedes-Benz	Silver Lightning	1	0	0
Mercedes-Benz	SLR McLaren	1	0	0
Mercedes-Benz	Vision One-Eleven	1	1	0
Mitsubishi	Lancer Evolution	1	1	0
Mosler	Super GT	1	0	0
Naran	Hyper Coupé	1	0	0
Nilu27	Nilu	1	0	0
Nio	EP9	1	0	0
Nissan	370Z Édition Néon	1	0	1
Nissan	37OZ Nismo	1	1	0
Nissan	GT-R Néon Édition	1	0	0
Nissan	GT-R Nismo	1	1	0
Nissan	GTR-50 Italdesign	1	1	0
Nissan	Leaf Nismo RC	1	1	0
Nissan	R390 GT1	1	0	0
Nissan	Z GT4	1	0	0
Noble	M600 Speedster	1	0	0
Pagani	Huayra BC	1	1	0
Pagani	Huayra R	1	0	0
Pagani	Imola	1	0	0
Pagani	Utopia Coupé	0	0	1
Pagani	Zonda Cinque	1	0	0
Pagani	Zonda HP Barchetta	1	0	0
Pagani	Zonda R	1	0	0
Peugeot	9X8	1	1	0
Peugeot	Onyx	1	0	0
Peugeot	SR1	1	0	1
Pininfarina	H2 Speed	1	1	0
Pininfarina	Teorema	0	0	0
Porsche	718 Cayman	1	1	0
Porsche	718 Cayman GT4 Clubsport	1	1	0
Porsche	911 50 Years Porsche Design	1	0	0
Porsche	911 Carrera RS 3.8	1	0	1
Porsche	911 GT1 Evolution	1	0	0
Porsche	911 GT2 RS Clubsport	1	1	0
Porsche	911 GT3 R rennsport	1	0	0
Porsche	911 GT3 RS	1	1	0
Porsche	911 GTS Coupé	1	1	0
Porsche	911 Targa 4S	1	1	0
Porsche	911 Turbo 50 Years	1	0	0
Porsche	917 Living Legend	0	0	0
Porsche	918 Spyder	1	1	0
Porsche	918 Spyder Asphalt Edition	1	0	0
Porsche	919 Street	0	0	0
Porsche	935 (2019)	1	1	0
Porsche	935 Dragonforce Edition	0	0	0
Porsche	Boxster 25th Anniversary	1	0	0
Porsche	Carrera GT	1	0	0
Porsche	Mission R	1	0	1
Porsche	Panamera Turbo S	1	0	0
Porsche	Taycan Turbo S	1	1	0
Praga	Bohema	1	0	1
Praga	R1	1	0	1
Puritalia	Berlinetta	1	1	0
Raesr	Aglaia	1	0	0
Raesr	Tachyon Speed	0	0	0
Raesr	Tartarus	0	0	0
Renault	Dezir	1	0	0
Renault	R.S. 01	1	1	0
Renault	TreZor	1	0	1
Rezvani	Beast X	1	1	0
Rimac	C TWO	0	0	0
Rimac	Concept S	1	0	0
Rimac	Concept_One	1	0	0
Rimac	Nevera	1	0	0
Rimac	Nevera R	0	0	0
Rimac	Nevera Time Attack	1	0	0
Saleen	S1	1	0	1
Saleen	S7 Twin Turbo	0	0	0
Sin	R1 550	1	1	0
Spania GTA	2015 GTA Spano	0	0	0
SSC	Tuatara	1	1	0
SSC	Tuatara Striker	1	0	0
SSC	Ultimate Aero TT	1	0	0
Techrules	AT96 track version	1	0	0
Torino Design	Super Sport	0	0	0
Toroidion	1MW	0	0	0
Toyota	GR Super Sport Concept	0	0	0
Toyota	GR Supra 2023	1	0	1
Toyota	GR Supra Racing Concept	1	0	0
Trion	Nemesis	1	1	0
Tushek	Aeon E	1	0	1
Tushek	TS 900 Racer Pro	0	0	0
TVR	Griffith	1	1	0
TVR	Sagaris	1	0	0
Ultima	RS	1	1	0
Vanda Electrics	Dendrobium	1	1	0
Vencer	Sarthe	1	1	0
Vision	1789	1	0	0
VLF	Force 1 V10	1	1	0
Volkswagen	Electric R	1	0	0
Volkswagen	W12 Coupe	1	1	0
Volkswagen	XL Sport Concept	1	1	0
W Motors	Fenyr Supersport	1	0	0
W Motors	Lykan Édition Néon	0	0	0
W Motors	Lykan Hypersport	1	1	0
Zenvo	Aurora Agil	1	0	0
Zenvo	Aurora Tur	1	0	0
Zenvo	TS1 GT Anniversary	1	0	0
Zenvo	TSR-S	1	0	0
