"Brand";"Model";"SettingBlueprint"
"Bugatti";"Veyron 16.4 Grand Sport Vitesse";"085-25-29-38-54-69|300"
"Bugatti";"Centodieci";"key-40-45-60-70-85|300"
"Bugatti";"EB110";"key-25-32-36-41-00|134"
"Bugatti";"Bolide";"key-40-45-60-70-85|300"
"Bugatti";"Chiron Super Sport 300+";"key-40-45-60-70-85|300"
"Bugatti";"Chiron Pur Sport";"085-25-29-38-54-69|300"
"Bugatti";"Mistral";"085-25-29-38-54-69|300"
"BXR";"Bailey Blade GT1";"085-25-29-38-54-69|300"
"Cadillac";"Cien Concept";"040-18-24-36-00-00|118"
"Chevrolet";"Camaro LT";"005-12-30-00-00-00|047"
"Chevrolet";"Camaro ZL1 50th Edition";"025-20-50-00-00-00|095"
"Chevrolet";"Corvette Grand Sport";"030-09-13-21-32-00|105"
"Chevrolet";"Corvette ZR1";"050-23-27-36-51-00|187"
"Chevrolet";"Corvette Stingray";"035-15-21-28-35-00|134"
"Chevrolet";"Corvette C7.R";"key-22-30-35-38-00|125"
"Chevrolet";"Corvette Grand Sport 4th of July Edition";"030-35-40-45-55-65|270"
"Chrysler";"ME412";"085-25-29-38-54-69|300"
"Citroën";"GT by Citroën";"050-23-27-36-52-62|250"
"Citroën";"DS Survolt";"020-30-40-50-00-00|140"
"Czinger";"21C";"085-25-29-38-54-69|300"
"De Tomaso";"P72";"key-30-40-50-65-80|265"
"De Tomaso";"P900";"035-15-21-28-35-00|134"
"Deus";"Vayanne";"key-40-45-60-70-85|300"
"Devel";"Sixteen";"key-40-45-60-70-85|300"
"Dodge";"Viper ACR";"035-15-21-32-00-00|103"
"Dodge";"Viper GTS";"045-21-28-42-00-00|136"
"Dodge";"Challenger Pack 392 Hemi Scat";"020-12-30-00-00-00|062"
"Dodge";"Challenger SRT8";"015-20-50-00-00-00|085"
"Dodge";"Charger SRT Hellcat Redeye Widebody";"020-25-30-35-40-00|150"
"Donkervoort";"D8 GTO";"050-29-38-48-00-00|165"
"Drako";"GTE";"055-35-44-54-00-00|188"
"DS Automobiles";"DS E-Tense";"020-12-30-00-00-00|062"
"DS Automobiles";"E-TENSE Performance";"key-22-30-35-38-00|125"
"Exotic Rides";"W70";"040-30-70-00-00-00|140"
"Faraday Future";"FFZero1";"085-25-29-38-54-69|300"
"Ferrante Design";"Elytron";"key-45-50-55-70-80|300"
"Ferrari";"F12TDF";"030-09-13-21-32-00|105"
"Ferrari";"LaFerrari";"035-12-15-24-36-00|122"
"Ferrari";"488 GTB";"040-18-24-36-00-00|118"
"Ferrari";"FXX K";"040-13-16-25-39-00|133"
"Ferrari";"J50";"045-21-28-42-00-00|136"
"Ferrari";"LaFerrari Aperta";"050-23-27-36-52-62|250"
"Ferrari";"812 Superfast";"050-23-27-36-51-00|187"
"Ferrari";"599XX EVO";"key-25-32-36-40-00|133"
"Ferrari";"Enzo Ferrari";"045-17-23-32-45-00|162"
"Ferrari";"F8 Tributo";"050-23-27-36-52-62|250"
"Ferrari";"SF90 Stradale";"060-25-30-35-45-55|250"
"Ferrari";"F40";"035-15-21-28-35-00|134"
"Ferrari";"488 GTB Challenge EVO";"key-26-34-46-61-73|240"
"Ferrari";"Roma";"055-35-44-54-00-00|188"
"Ferrari";"Monza SP1";"050-29-38-48-00-00|165"
"Ferrari";"F50";"055-35-44-54-00-00|188"
"Ferrari";"296 GTB";"key-25-32-36-41-00|134"
"Ferrari";"Daytona SP3";"key-25-32-36-40-00|133"
"Ferrari";"SF90 XX Stradale";"070-23-27-36-52-59|267"
"Ferrari";"499P Modificata";"070-23-27-36-52-59|267"
"Ferrari";"F12 Berlinetta";"025-30-35-40-50-60|240"
"Ferrari";"12 Cilindri";"030-35-40-45-55-65|270"
"Ford";"Shelby GT350R";"020-12-18-28-00-00|078"
"Ford";"GT";"030-23-54-00-00-00|107"
"Ford";"Shelby GR-1";"050-29-38-48-00-00|165"
"Ford";"GT MK II";"key-35-55-85-00-00|175"
"Ford";"Mustang Mach-E1400";"key-22-30-35-38-00|125"
"Ford";"Team Fordzilla P1";"070-23-27-36-52-59|267"
"Ford";"GT Frankie Edition";"050-23-27-36-51-00|187"
"Ford";"Mustang RTR Spec 5 10th Anniversary";"055-35-44-54-00-00|188"
"Ford";"Shelby Super Snake";"070-23-27-36-52-59|267"
"Ford";"GT MK IV";"025-30-35-40-50-60|240"
"Ford";"Mustang RTR Spec 5-FD";"035-40-45-50-60-70|300"
"Formule E";"GEN 2 Asphalt Édition";"035-15-21-28-35-00|134"
"Formule E";"GEN 3 EVO Championship Edition";"key-35-40-50-55-00|180"
"FV Frangivento";"Sorpasso GT3";"key-40-45-60-70-85|300"
"FV Frangivento";"Asfanè";"key-28-32-44-59-86|249"
"FV Frangivento";"GT65";"key-26-34-40-62-00|162"
"Genty";"Akylone";"050-23-27-36-52-62|250"
"Ginetta";"G60";"030-23-33-42-00-00|128"
"Ginetta";"Akula";"025-30-35-40-50-00|180"
"Glickenhaus";"003S";"040-18-24-36-00-00|118"
"Glickenhaus";"004C";"key-22-30-35-38-00|125"
"Glickenhaus";"007S";"key-28-32-44-59-86|249"
"Hennessey";"Venom F5";"085-25-29-38-54-69|300"
"Honda";"Civic Type-R";"030-23-33-42-00-00|128"
"HTT";"Locus Pléthore LC750";"085-25-29-38-54-69|300"
"Hyundai";"N Vision 74 Concept";"key-40-45-60-70-85|300"
"Hyundai";"Ioniq 5 N";"015-25-35-50-00-00|125"
"Icona";"Vulcano Titanium";"040-13-16-25-39-00|133"
"Icona";"Vulcano Spyder";"035-40-45-50-60-70|300"
"Inferno Automobili";"Inferno";"085-25-29-38-54-69|300"
"Inferno Automobili";"Settimo Cerchio";"085-25-29-38-54-69|300"
"Infiniti";"Projet Black S";"030-23-33-42-00-00|128"
"Italdesign";"Zerouno";"040-35-44-54-00-00|173"
"Italdesign";"DaVinci";"030-23-33-42-00-00|128"
"Jaguar";"F-Type SVR";"030-18-24-36-00-00|108"
"Jaguar";"C-X75";"050-23-27-36-51-00|187"
"Jaguar";"XE SV Project 8";"035-15-21-28-35-00|134"
"Jaguar";"XJ220S TWR";"key-40-45-60-70-85|300"
"Jaguar";"XJR-9";"key-30-40-50-65-80|265"
"Jaguar";"XJR-15";"050-29-38-48-00-00|165"
"Jaguar";"XKR-S GT";"050-29-38-48-00-00|165"
"Kepler";"Motion";"055-35-44-54-00-00|188"
"Kimera";"EVO37";"key-22-30-35-38-00|125"
"Koenigsegg";"Regera";"060-13-16-25-38-48|200"
"Koenigsegg";"Jesko";"key-40-45-60-70-85|300"
"Koenigsegg";"Gemera";"key-40-45-60-70-85|300"
"Koenigsegg";"Agera RS";"085-25-29-38-54-69|300"
"Koenigsegg";"CCXR";"key-40-45-60-70-85|300"
"Koenigsegg";"CC850";"key-40-45-60-70-85|300"
"Koenigsegg";"Jesko Absolut";"key-40-45-60-70-85|300"
"Koenigsegg";"One:1";"035-40-45-50-60-70|300"
"Koenigsegg";"Chimera";"key-45-50-55-70-80|300"
"KTM";"X-Bow GTX";"030-23-54-00-00-00|107"
"Lamborghini";"Aventador SV Coupé";"035-12-15-24-36-00|122"
"Lamborghini";"Egoista";"060-13-16-25-38-48|200"
"Lamborghini";"Terzo Millennio";"060-13-16-25-38-48|200"
"Lamborghini";"Centenario";"040-13-16-25-39-00|133"
"Lamborghini";"Asterion";"040-18-24-36-00-00|118"
"Lamborghini";"Huracán Evo Spyder";"045-17-23-32-45-00|162"
"Lamborghini";"Aventador J";"050-23-27-36-51-00|187"
"Lamborghini";"Gallardo LP560-4";"035-15-21-28-35-00|134"
"Lamborghini";"Veneno";"060-13-16-25-38-48|200"
"Lamborghini";"Sián FKP 37";"085-25-29-38-54-69|300"
"Lamborghini";"SC18";"key-28-32-44-59-86|249"
"Lamborghini";"Huracán Super Trofeo Evo";"key-22-30-35-38-00|125"
"Lamborghini";"Murcielago LP 640 Roadster";"045-17-23-32-45-00|162"
"Lamborghini";"Essenza SCV12";"key-26-34-40-62-00|162"
"Lamborghini";"Aventador SVJ Roadster";"070-23-27-36-52-59|267"
"Lamborghini";"SC20";"key-28-32-44-59-86|249"
"Lamborghini";"Countach 25th Anniversary";"030-23-33-42-00-00|128"
"Lamborghini";"Countach LPI 800-4";"key-30-40-50-65-80|265"
"Lamborghini";"Reventón Roadster";"key-26-34-40-62-00|162"
"Lamborghini";"Diablo GT";"035-15-21-28-35-00|134"
"Lamborghini";"Miura Concept";"key-25-32-36-40-00|133"
"Lamborghini";"Sesto Elemento";"055-18-24-32-47-50|226"
"Lamborghini";"Revuelto";"key-26-34-46-61-78|245"
"Lamborghini";"Invencible";"045-17-23-32-45-00|162"
"Lamborghini";"Huracán STO";"055-35-44-54-00-00|188"
"Lamborghini";"SC63";"key-26-34-40-62-00|162"
"Lamborghini";"Autentica";"key-35-36-46-85-00|202"
"Lamborghini";"Temerario";"key-26-34-46-61-78|245"
"Lamborghini";"Huracán Sterrato";"key-20-30-35-40-00|125"
"Lego Technic";"McLaren Senna GTR";"key-28-32-44-83-00|187"
"Lego Technic";"Chevrolet Corvette Stingray";"045-17-23-32-45-00|162"
"Lego Technic";"Aston Martin Valkyrie";"030-35-40-45-55-00|205"
"Lego Technic";"Ferrari FXX K";"030-35-40-45-55-00|205"
"Lego Technic";"Lamborghini Revuelto";"025-30-35-40-50-60|240"
"Lego Technic";"Bugatti Chiron Pur Sport";"035-40-45-50-60-70|300"
"Lego Technic";"BMW M4 GT3 EVO";"025-30-35-40-50-60|240"
"Lexus";"Electrified Sport Concept";"070-23-27-36-52-59|267"
"Lexus";"LFA Nürburgring Package";"020-25-30-35-40-00|150"
"Lotus";"Evora Sport 410";"020-20-50-00-00-00|090"
"Lotus";"Elise Sprint 220";"010-12-18-28-00-00|068"
"Lotus";"Evija";"055-18-24-32-50-61|240"
"Lotus";"Emira";"030-23-33-42-00-00|128"
"Lotus";"E-R9";"key-26-34-46-61-78|245"
"Lotus";"Emeya";"015-30-35-40-00-00|120"
"Maserati";"Alfieri";"035-15-21-32-00-00|103"
"Maserati";"MC12";"key-25-32-36-41-00|134"
"Maserati";"MC20";"045-17-23-32-45-00|162"
"Maserati";"MC20 GT2";"key-25-38-52-00-00|115"
"Mazda";"Furai";"030-23-33-42-00-00|128"
"Mazzanti";"Evantra Millecavalli";"085-25-29-38-54-69|300"
"McLaren";"P1";"035-12-15-24-36-00|122"
"McLaren";"570S Spider";"050-12-15-24-37-45|183"
"McLaren";"Senna";"060-13-16-25-38-48|200"
"McLaren";"F1 LM";"key-26-34-46-61-78|245"
"McLaren";"Speedtail";"085-25-29-38-54-69|300"
"McLaren";"Elva";"045-17-23-32-45-00|162"
"McLaren";"GT";"035-15-21-28-35-00|134"
"McLaren";"Senna GTR";"050-23-27-36-51-00|187"
"McLaren";"765LT";"045-17-23-32-45-00|162"
"McLaren";"600LT Spider";"045-17-23-32-45-00|162"
"McLaren";"650S GT3";"070-23-27-36-52-59|267"
"McLaren";"Solus GT";"key-26-34-40-62-00|162"
"McLaren";"Artura";"055-35-44-54-00-00|188"
"McLaren";"Sabre";"070-23-27-36-52-59|267"
"McLaren";"750S Coupé";"025-30-35-40-50-00|180"
"McMurtry";"Spéirling";"050-23-27-36-51-00|187"
"Mercedes-Benz";"AMG GT S";"030-20-50-00-00-00|100"
"Mercedes-Benz";"SLR McLaren";"045-17-23-32-45-00|162"
"Mercedes-Benz";"AMG GT Black Series";"key-25-32-36-41-00|134"
"Mercedes-Benz";"CLK-GTR";"035-15-21-28-35-00|134"
"Mercedes-Benz";"2022 Showcar Vision AMG";"050-29-38-48-00-00|165"
"Mercedes-Benz";"Vision One-Eleven";"key-30-40-50-65-80|265"
"Mercedes-Benz";"Mercedes-AMG ONE";"key-40-45-50-60-75|270"
"Mercedes-Benz";"Silver Lightning";"030-35-40-45-55-65|270"
"Mercedes-Benz";"C 63 AMG DTM";"key-30-35-40-45-00|150"
"Mercedes-Benz";"C11";"035-40-45-50-60-70|300"
"Mitsubishi";"Lancer Evolution";"005-12-30-00-00-00|047"
"Mosler";"Super GT";"035-40-45-50-60-70|300"
"Naran";"Hyper Coupé";"085-25-29-38-54-69|300"
"Nilu27";"Nilu";"035-40-45-50-60-70|300"
"Nio";"EP9";"060-40-51-63-00-00|214"
"Nissan";"37OZ Nismo";"010-20-30-00-00-00|060"
"Nissan";"GT-R Nismo";"045-21-28-42-00-00|136"
"Nissan";"Leaf Nismo RC";"015-25-55-00-00-00|095"
"Nissan";"GTR-50 Italdesign";"045-17-23-32-45-00|162"
"Nissan";"R390 GT1";"key-26-34-40-62-00|162"
"Nissan";"370Z Édition Néon";"030-23-33-42-00-00|128"
"Nissan";"GT-R Néon Édition";"085-25-29-38-54-69|300"
"Nissan";"Z GT4";"020-25-30-35-40-00|150"
"Noble";"M600 Speedster";"070-23-27-36-52-59|267"
"Pagani";"Huayra BC";"050-12-15-24-37-45|183"
"Pagani";"Imola";"070-23-27-36-52-59|267"
"Pagani";"Zonda HP Barchetta";"key-28-32-44-83-00|187"
"Pagani";"Zonda R";"key-28-32-44-59-86|249"
"Pagani";"Huayra R";"055-18-24-32-47-50|226"
"Pagani";"Utopia Coupé";"key-28-32-44-59-86|249"
"Pagani";"Zonda Cinque";"030-35-40-45-55-65|270"
"Peugeot";"Onyx";"050-23-27-36-52-62|250"
"Peugeot";"SR1";"030-23-33-42-00-00|128"
"Peugeot";"9X8";"070-23-27-36-52-59|267"
"Pininfarina";"H2 Speed";"035-15-21-32-00-00|103"
"Pininfarina";"Teorema";"085-25-29-38-54-69|300"
"Porsche";"911 GTS Coupé";"030-30-70-00-00-00|130"
"Porsche";"718 Cayman";"025-08-14-28-00-00|075"
"Porsche";"918 Spyder";"035-12-15-24-36-00|122"
"Porsche";"911 Targa 4S";"030-23-33-42-00-00|128"
"Porsche";"911 GT3 RS";"055-18-24-32-47-50|226"
"Porsche";"911 GT2 RS Clubsport";"key-28-32-44-59-86|249"
"Porsche";"718 Cayman GT4 Clubsport";"key-25-32-36-40-00|133"
"Porsche";"Carrera GT";"045-17-23-32-45-00|162"
"Porsche";"911 GT1 Evolution";"055-35-44-54-00-00|188"
"Porsche";"Taycan Turbo S";"030-23-33-42-00-00|128"
"Porsche";"Boxster 25th Anniversary";"055-38-90-00-00-00|183"
"Porsche";"Panamera Turbo S";"key-25-32-36-41-00|134"
"Porsche";"935 (2019)";"key-28-32-44-59-86|249"
"Porsche";"911 Carrera RS 3.8";"030-23-33-42-00-00|128"
"Porsche";"Mission R";"050-29-38-48-00-00|165"
"Porsche";"911 Turbo 50 Years";"055-35-44-54-00-00|188"
"Porsche";"911 50 Years Porsche Design";"050-29-38-48-00-00|165"
"Porsche";"935 Dragonforce Edition";"key-40-45-50-60-75|270"
"Porsche";"911 GT3 R rennsport";"020-25-30-35-40-00|150"
"Porsche";"919 Street";"key-40-45-50-60-75|270"
"Porsche";"917 Living Legend";"key-35-40-50-55-00|180"
"Porsche";"918 Spyder Asphalt Edition";"035-40-45-50-60-70|300"
"Praga";"R1";"030-23-33-42-00-00|128"
"Praga";"Bohema";"035-15-21-28-35-00|134"
"Puritalia";"Berlinetta";"045-17-23-32-45-00|162"
"Raesr";"Tachyon Speed";"key-40-45-60-70-85|300"
"Raesr";"Tartarus";"key-40-45-60-70-85|300"
"Raesr";"Aglaia";"035-40-45-50-60-70|300"
"Renault";"R.S. 01";"key-25-32-36-40-00|133"
"Renault";"TreZor";"030-23-33-42-00-00|128"
"Renault";"Dezir";"030-23-33-42-00-00|128"
"Rezvani";"Beast X";"035-15-21-32-00-00|103"
"Rimac";"C TWO";"key-40-45-60-70-85|300"
"Rimac";"Nevera";"key-40-45-60-70-85|300"
"Rimac";"Concept_One";"070-23-27-36-52-59|267"
"Rimac";"Concept S";"085-25-29-38-54-69|300"
"Rimac";"Nevera Time Attack";"key-40-45-60-70-85|300"
"Rimac";"Nevera R";"key-45-50-55-70-80|300"
"Saleen";"S1";"050-29-38-48-00-00|165"
"Saleen";"S7 Twin Turbo";"key-40-45-60-70-85|300"
"Sin";"R1 550";"030-09-13-21-32-00|105"
"Spania GTA";"2015 GTA Spano";"085-25-29-38-54-69|300"
"SSC";"Tuatara";"key-40-45-60-70-85|300"
"SSC";"Tuatara Striker";"key-40-45-60-70-85|300"
"SSC";"Ultimate Aero TT";"035-40-45-50-60-70|300"
"Techrules";"AT96 track version";"key-30-40-50-65-80|265"
"Torino Design";"Super Sport";"key-40-45-60-70-85|300"
"Toroidion";"1MW";"085-25-29-38-54-69|300"
"Toyota";"GR Supra 2023";"015-25-35-50-00-00|125"
"Toyota";"GR Super Sport Concept";"key-26-34-40-62-00|162"
"Toyota";"GR Supra Racing Concept";"015-20-25-30-35-00|125"
"Trion";"Nemesis";"060-13-16-25-38-48|200"
"Tushek";"TS 900 Racer Pro";"085-25-29-38-54-69|300"
"Tushek";"Aeon E";"035-40-45-50-60-70|300"
"TVR";"Griffith";"030-23-33-42-00-00|128"
"TVR";"Sagaris";"050-29-38-48-00-00|165"
"TVR";"Cerbera Speed 12";"key-45-50-55-70-80|300"
"Ultima";"RS";"key-40-45-60-70-85|300"
"Vanda Electrics";"Dendrobium";"050-23-27-36-52-62|250"
"Vencer";"Sarthe";"035-15-21-28-35-00|134"
"Vision";"1789";"085-25-29-38-54-69|300"
"VLF";"Force 1 V10";"045-17-23-32-45-00|162"
"Volkswagen";"XL Sport Concept";"020-12-30-00-00-00|062"
"Volkswagen";"W12 Coupe";"key-26-34-46-61-78|245"
"Volkswagen";"Electric R";"key-22-30-35-38-00|125"
"W Motors";"Lykan Hypersport";"040-13-16-25-39-00|133"
"W Motors";"Fenyr Supersport";"060-13-16-25-38-48|200"
"W Motors";"Lykan Édition Néon";"key-40-45-60-70-85|300"
"Zenvo";"TS1 GT Anniversary";"060-13-16-25-38-48|200"
"Zenvo";"TSR-S";"key-26-34-40-62-00|162"
"Zenvo";"Aurora Tur";"085-25-29-38-54-69|300"
"Zenvo";"Aurora Agil";"030-35-40-45-55-65|270"
"Audi";"R8 Coupé V1O Performance Quattro";"020-25-30-35-40-00|150"
"Audi";"R18 E-Tron Quattro 2012";"035-40-45-50-60-70|300"
"Audi";"R8 LMP1 2000";"035-40-45-50-60-70|300"
