"Brand";"Model";"SettingPrice"
"Chevrolet";"Corvette Grand Sport";"1020910"
"Chevrolet";"Corvette Stingray";"1811030"
"Chevrolet";"Corvette ZR1";"2482450"
"Chrysler";"ME412";"7741500"
"Citroën";"DS Survolt";"0998460"
"Citroën";"GT by Citroën";"5571900"
"Czinger";"21C";"7741500"
"De Tomaso";"P72";"5571900"
"De Tomaso";"P900";"1811030"
"Deus";"Vayanne";"7741500"
"Devel";"Sixteen";"7741500"
"Dodge";"Challenger Pack 392 Hemi Scat";"0146550"
"Dodge";"Challenger SRT8";"0241700"
"Dodge";"Charger SRT Hellcat Redeye Widebody";"1811030"
"Dodge";"Viper ACR";"0499430"
"Dodge";"Viper GTS";"0688720"
"Donkervoort";"D8 GTO";"0998460"
"Drako";"GTE";"1188150"
"DS Automobiles";"DS E-Tense";"0146550"
"DS Automobiles";"E-TENSE Performance";"1446840"
"Exotic Rides";"W70";"0321740"
"Faraday Future";"FFZero1";"7741500"
"Ferrante Design";"Elytron";"7741500"
"Ferrari";"12 Cilindri";"3610390"
"Ferrari";"296 GTB";"1811030"
"Ferrari";"488 GTB Challenge EVO";"3610390"
"Ferrari";"488 GTB";"0594180"
"Ferrari";"499P Modificata";"5571900"
"Ferrari";"599XX EVO";"1811030"
"Ferrari";"812 Superfast";"2482450"
"Ferrari";"Daytona SP3";"5571900"
"Ferrari";"Enzo Ferrari";"2042320"
"Ferrari";"F12 Berlinetta";"2042320"
"Ferrari";"F8 Tributo";"5571900"
"Ferrari";"FXX K";"7741500"
"Ferrari";"LaFerrari Aperta";"5571900"
"Ferrari";"Monza SP1";"0998460"
"Ferrari";"SF90 Stradale";"7741500"
"Ferrari";"SF90 XX Stradale";"5571900"
"Ferrari";"F12TDF";"1020910"
"Ferrari";"F40";"1811030"
"Ferrari";"F50";"1188150"
"Ferrari";"J50";"0688720"
"Ferrari";"LaFerrari";"1136060"
"Ferrari";"Roma";"1188150"
"Ford";"GT Frankie Edition";"2482450"
"Ford";"GT MK II";"1188150"
"Ford";"GT MK IV";"3610390"
"Ford";"Mustang Mach-E1400";"1581800"
"Ford";"Mustang RTR Spec 5 10th Anniversary";"1188150"
"Ford";"Mustang RTR Spec 5-FD";"7741500"
"Ford";"Shelby GR-1";"0998460"
"Ford";"Shelby GT350R";"0404990"
"Ford";"Shelby Super Snake";"5571900"
"Ford";"Team Fordzilla P1";"7741500"
"Ford";"GT";"0594180"
"Formule E";"GEN 2 Asphalt Édition";"7741500"
"Formule E";"GEN 3 EVO Championship Edition";"2042320"
"FV Frangivento";"Sorpasso GT3";"7741500"
"FV Frangivento";"Asfanè";"5571900"
"FV Frangivento";"GT65";"2042320"
"Genty";"Akylone";"5571900"
"Ginetta";"Akula";"0000000"
"Ginetta";"G60";"0809670"
"Glickenhaus";"003S";"0594180"
"Glickenhaus";"004C";"1446840"
"Glickenhaus";"007S";"5571900"
"Hennessey";"Venom F5";"7741500"
"Honda";"Civic Type-R";"0809670"
"HTT";"Locus Pléthore LC750";"7741500"
"Hyundai";"Ioniq 5 N";"0809670"
"Hyundai";"N Vision 74 Concept";"7741500"
"Icona";"Vulcano Spyder";"7741500"
"Icona";"Vulcano Titanium";"7741500"
"Inferno Automobili";"Settimo Cerchio";"7741500"
"Inferno Automobili";"Inferno";"7741500"
"Infiniti";"Projet Black S";"0809670"
"Italdesign";"DaVinci";"0809670"
"Italdesign";"Zerouno";"1188150"
"Jaguar";"F-Type SVR";"0594180"
"Jaguar";"XE SV Project 8";"1811030"
"Jaguar";"XJ220S TWR";"7741500"
"Jaguar";"XKR-S GT";"0998460"
"Jaguar";"C-X75";"2482450"
"Jaguar";"XJR-15";"0998460"
"Jaguar";"XJR-9";"5571900"
"Kepler";"Motion";"1188150"
"Kimera";"EVO37";"1446840"
"Koenigsegg";"Agera RS";"7741500"
"Koenigsegg";"Jesko Absolut";"7741500"
"Koenigsegg";"CC850";"7741500"
"Koenigsegg";"CCXR";"7741500"
"Koenigsegg";"Chimera";"7741500"
"Koenigsegg";"Gemera";"7741500"
"Koenigsegg";"Jesko";"7741500"
"Koenigsegg";"One:1";"7741500"
"Koenigsegg";"Regera";"7741500"
"KTM";"X-Bow GTX";"0146550"
"Lamborghini";"Aventador J";"2482450"
"Lamborghini";"Aventador SV Coupé";"1136060"
"Lamborghini";"Aventador SVJ Roadster";"5571900"
"Lamborghini";"Countach 25th Anniversary";"0809670"
"Lamborghini";"Countach LPI 800-4";"5571900"
"Lamborghini";"Diablo GT";"1811030"
"Lamborghini";"Essenza SCV12";"2042320"
"Lamborghini";"Gallardo LP560-4";"1811030"
"Lamborghini";"Huracán Evo Spyder";"2042320"
"Lamborghini";"Huracán STO";"1188150"
"Lamborghini";"Huracán Sterrato";"1581800"
"Lamborghini";"Huracán Super Trofeo Evo";"1446840"
"Lamborghini";"Miura Concept";"1811030"
"Lamborghini";"Murcielago LP 640 Roadster";"2042320"
"Lamborghini";"Reventón Roadster";"2042320"
"Lamborghini";"Sesto Elemento";"3610390"
"Lamborghini";"Sián FKP 37";"7741500"
"Lamborghini";"Terzo Millennio";"7741500"
"Lamborghini";"Asterion";"0594180"
"Lamborghini";"Autentica";"2970300"
"Lamborghini";"Centenario";"7741500"
"Lamborghini";"Egoista";"7741500"
"Lamborghini";"Invencible";"3610390"
"Lamborghini";"Revuelto";"3610390"
"Lamborghini";"SC18";"5571900"
"Lamborghini";"SC20";"5571900"
"Lamborghini";"SC63";"2042320"
"Lamborghini";"Temerario";"3610390"
"Lamborghini";"Veneno";"7741500"
"Lego Technic";"Aston Martin Valkyrie";"5571900"
"Lego Technic";"BMW M4 GT3 EVO";"2042320"
"Lego Technic";"Bugatti Chiron Pur Sport";"7741500"
"Lego Technic";"Chevrolet Corvette Stingray";"2042320"
"Lego Technic";"Ferrari FXX K";"2482450"
"Lego Technic";"Lamborghini Revuelto";"3610390"
"Lego Technic";"McLaren Senna GTR";"2482450"
"Lexus";"Electrified Sport Concept";"5571900"
"Lexus";"LFA Nürburgring Package";"1811030"
"Lotus";"Elise Sprint 220";"0404990"
"Lotus";"Evora Sport 410";"0241700"
"Lotus";"E-R9";"3610390"
"Lotus";"Emeya";"0809670"
"Lotus";"Emira";"0809670"
"Lotus";"Evija";"3610390"
"Maserati";"MC20 GT2";"1811030"
"Maserati";"Alfieri";"0998460"
"Maserati";"MC12";"1811030"
"Maserati";"MC20";"2042320"
"Mazda";"Furai";"0809670"
"Mazzanti";"Evantra Millecavalli";"7741500"
"McLaren";"570S Spider";"5571900"
"McLaren";"600LT Spider";"2042320"
"McLaren";"650S GT3";"5571900"
"McLaren";"750S Coupé";"2042320"
"McLaren";"F1 LM";"3610390"
"McLaren";"Senna GTR";"2482450"
"McLaren";"Solus GT";"2042320"
"McLaren";"765LT";"2042320"
"McLaren";"Artura";"1188150"
"McLaren";"Elva";"2042320"
"McLaren";"GT";"1811030"
"McLaren";"P1";"1136060"
"McLaren";"Sabre";"5571900"
"McLaren";"Senna";"7741500"
"McLaren";"Speedtail";"7741500"
"McMurtry";"Spéirling";"2482450"
"Mercedes-Benz";"2022 Showcar Vision AMG";"7741500"
"Mercedes-Benz";"AMG GT Black Series";"1811030"
"Mercedes-Benz";"AMG GT S";"0241700"
"Mercedes-Benz";"C 63 AMG DTM";"1811030"
"Mercedes-Benz";"Mercedes-AMG ONE";"5571900"
"Mercedes-Benz";"SLR McLaren";"2042320"
"Mercedes-Benz";"Silver Lightning";"5571900"
"Mercedes-Benz";"Vision One-Eleven";"5571900"
"Mercedes-Benz";"C11";"7741500"
"Mercedes-Benz";"CLK-GTR";"1811030"
"Mitsubishi";"Lancer Evolution";"0146550"
"Mosler";"Super GT";"7741500"
"Naran";"Hyper Coupé";"7741500"
"Nilu27";"Nilu";"7741500"
"Nio";"EP9";"1446840"
"Nissan";"370Z Édition Néon";"0809670"
"Nissan";"37OZ Nismo";"0146550"
"Nissan";"GT-R Nismo";"0688720"
"Nissan";"GT-R Néon Édition";"7741500"
"Nissan";"GTR-50 Italdesign";"2042320"
"Nissan";"Leaf Nismo RC";"0146550"
"Nissan";"R390 GT1";"2042320"
"Nissan";"Z GT4";"1811030"
"Noble";"M600 Speedster";"5571900"
"Pagani";"Huayra BC";"1908790"
"Pagani";"Huayra R";"3610390"
"Pagani";"Utopia Coupé";"5571900"
"Pagani";"Zonda Cinque";"5571900"
"Pagani";"Zonda HP Barchetta";"2482450"
"Pagani";"Zonda R";"5571900"
"Pagani";"Imola";"5571900"
"Peugeot";"9X8";"5571900"
"Peugeot";"Onyx";"5571900"
"Peugeot";"SR1";"0809670"
"Pininfarina";"H2 Speed";"0499430"
"Pininfarina";"Teorema";"7741500"
"Porsche";"718 Cayman GT4 Clubsport";"1811030"
"Porsche";"718 Cayman";"0404990"
"Porsche";"911 50 Years Porsche Design";"0998460"
"Porsche";"911 Carrera RS 3.8";"0809670"
"Porsche";"911 GT1 Evolution";"1188150"
"Porsche";"911 GT2 RS Clubsport";"5571900"
"Porsche";"911 GT3 R rennsport";"1811030"
"Porsche";"911 GT3 RS";"3610390"
"Porsche";"911 GTS Coupé";"0321740"
"Porsche";"911 Targa 4S";"0809670"
"Porsche";"911 Turbo 50 Years";"1188150"
"Porsche";"917 Living Legend";"3610390"
"Porsche";"918 Spyder Asphalt Edition";"7741500"
"Porsche";"918 Spyder";"1136060"
"Porsche";"919 Street";"5571900"
"Porsche";"935 (2019)";"5571900"
"Porsche";"935 Dragonforce Edition";"5571900"
"Porsche";"Boxster 25th Anniversary";"0241700"
"Porsche";"Carrera GT";"2042320"
"Porsche";"Mission R";"0998460"
"Porsche";"Panamera Turbo S";"1811030"
"Porsche";"Taycan Turbo S";"0809670"
"Praga";"Bohema";"1811030"
"Praga";"R1";"0809670"
"Puritalia";"Berlinetta";"2042320"
"Raesr";"Tachyon Speed";"7741500"
"Raesr";"Aglaia";"7741500"
"Raesr";"Tartarus";"7741500"
"Renault";"R.S. 01";"1811030"
"Renault";"Dezir";"0809670"
"Renault";"TreZor";"0809670"
"Rezvani";"Beast X";"0499430"
"Rimac";"C TWO";"0000000"
"Rimac";"Concept S";"7741500"
"Rimac";"Nevera R";"7741500"
"Rimac";"Nevera Time Attack";"7741500"
"Rimac";"Concept_One";"5571900"
"Rimac";"Nevera";"7741500"
"Saleen";"S7 Twin Turbo";"7741500"
"Saleen";"S1";"0998460"
"Sin";"R1 550";"2042320"
"Spania GTA";"2015 GTA Spano";"7741500"
"SSC";"Tuatara Striker";"7741500"
"SSC";"Ultimate Aero TT";"7741500"
"SSC";"Tuatara";"7741500"
"Techrules";"AT96 track version";"5571900"
"Torino Design";"Super Sport";"7741500"
"Toroidion";"1MW";"7741500"
"Toyota";"GR Super Sport Concept";"2042320"
"Toyota";"GR Supra 2023";"0809670"
"Toyota";"GR Supra Racing Concept";"1446840"
"Trion";"Nemesis";"7741500"
"Tushek";"Aeon E";"7741500"
"Tushek";"TS 900 Racer Pro";"7741500"
"TVR";"Cerbera Speed 12";"0000000"
"TVR";"Griffith";"0809670"
"TVR";"Sagaris";"0998460"
"Ultima";"RS";"7741500"
"Vanda Electrics";"Dendrobium";"5571900"
"Vencer";"Sarthe";"1811030"
"Vision";"1789";"7741500"
"VLF";"Force 1 V10";"1136060"
"Volkswagen";"Electric R";"1446840"
"Volkswagen";"W12 Coupe";"3610390"
"Volkswagen";"XL Sport Concept";"0146550"
"W Motors";"Fenyr Supersport";"7741500"
"W Motors";"Lykan Hypersport";"7741500"
"W Motors";"Lykan Édition Néon";"7741500"
"Zenvo";"Aurora Agil";"5571900"
"Zenvo";"Aurora Tur";"7741500"
"Zenvo";"TS1 GT Anniversary";"7741500"
"Zenvo";"TSR-S";"2042320"
