Brand;Model;Speed;Acceleration;Handling;Nitro;Mark;Division
Porsche;"Taycan Turbo S";9;2;2;3;4;9
Porsche;"911 GT2 RS Clubsport";2;2;1;2;1;9
Porsche;"718 Cayman GT4 Clubsport";3;9;1;2;3;9
Lamborghini;SC18;2;3;2;1;2;9
Lamborghini;"Sián FKP 37";2;3;1;1;1;9
Lamborghini;"Gallardo LP560-4";3;9;2;3;4;9
Lamborghini;Veneno;2;3;2;1;2;9
McLaren;"F1 LM";2;9;2;2;3;9
BXR;"Bailey Blade GT1";1;3;3;2;2;9
Chevrolet;"Corvette Stingray";3;3;2;2;2;9
Chevrolet;"Corvette C7.R";3;3;3;3;3;9
Ford;"GT MK II";3;1;2;2;2;9
SSC;Tuatara;1;3;3;2;2;9
Apex;AP-0;3;3;1;1;2;9
"Aston Martin";"Valhalla Concept Car";2;3;1;3;2;9
Bentley;"Mulliner Bacalar";3;9;2;3;4;9
Bentley;"Continental GT3";3;9;2;3;4;9
Jaguar;C-X75;2;9;2;2;3;9
McLaren;Speedtail;1;3;3;2;2;9
Ferrari;"Enzo Ferrari";2;9;2;2;3;9
Ferrari;"599XX EVO";3;3;1;2;2;9
Ferrari;F40;3;9;3;3;4;9
Ferrari;"488 GTB Challenge EVO";2;3;2;1;2;9
Ferrari;"SF90 Stradale";2;1;1;2;1;9
Ferrari;"F8 Tributo";2;2;1;2;1;9
Apollo;IE;3;2;2;2;2;9
BMW;"I8 Roadster";9;9;2;2;5;9
Bugatti;"La Voiture Noire";1;2;3;2;2;9
Bugatti;Divo;2;2;2;2;2;9
Citroën;"GT by Citroën";2;9;2;2;3;9
Lamborghini;"Huracán Super Trofeo Evo";3;3;2;3;2;9
Peugeot;Onyx;2;3;1;3;2;9
Acura;"NSX GT3 EVO";3;9;1;2;3;9
Aspark;Owl;1;1;3;3;2;9
"Inferno Automobili";Inferno;1;2;3;1;1;9
Infiniti;"Projet Black S";9;9;2;2;5;9
Nio;EP9;3;2;2;2;2;9
"ATS Automobili";"Corsa RRTurbo";3;1;3;3;2;9
Ferrari;Roma;3;9;2;2;4;9
Italdesign;DaVinci;9;2;2;3;4;9
Lamborghini;"Essenza SCV12";3;2;2;2;2;9
Lamborghini;"Murcielago LP 640 Roadster";2;9;2;2;3;9
Pagani;Imola;2;3;2;2;2;9
"Aston Martin";Valkyrie;2;3;2;1;2;9
"Aston Martin";Victor;2;9;2;2;3;9
Renault;"R.S. 01";3;2;2;2;2;9
Volkswagen;"W12 Coupe";2;9;1;3;3;9
Zenvo;TSR-S;3;2;1;2;2;9
"Aston Martin";"V12 Speedster";3;9;1;2;3;9
Bugatti;"Veyron 16.4 Grand Sport Vitesse";1;3;3;3;2;9
Hennessey;"Venom F5";1;3;3;3;2;9
Lamborghini;"Aventador SVJ Roadster";2;3;2;2;2;9
Lamborghini;SC20;2;3;2;2;2;9
McLaren;Elva;3;3;2;2;2;9
Drako;GTE;3;3;3;2;2;9
"Lego Technic";"McLaren Senna GTR";3;3;2;2;2;9
Pagani;"Zonda HP Barchetta";2;9;2;2;3;9
Raesr;"Tachyon Speed";1;9;3;3;4;9
Renault;TreZor;9;9;2;2;5;9
Rimac;Concept_One;2;1;1;3;1;9
Toroidion;1MW;1;3;2;3;2;9
Volkswagen;"Electric R";9;1;3;2;3;9
Arash;AF10;3;9;3;3;4;9
Glickenhaus;004C;3;9;3;2;4;9
Glickenhaus;007S;2;1;1;3;1;9
Koenigsegg;Gemera;1;1;2;3;1;9
Lotus;Emira;3;9;3;3;4;9
McLaren;GT;3;3;2;3;2;9
Naran;"Hyper Coupé";2;2;2;2;2;9
Nissan;"GTR-50 Italdesign";3;1;2;2;2;9
Pagani;"Zonda R";2;2;3;2;2;9
Saleen;S1;3;9;1;2;3;9
"Aston Martin";One77;2;9;2;3;4;9
McLaren;"Senna GTR";2;3;2;1;2;9
Puritalia;Berlinetta;3;2;1;2;2;9
Ultima;RS;1;3;2;2;2;9
Vision;1789;2;3;3;2;2;9
Arash;"AF8 Falcon Édition";3;9;2;1;3;9
Bolwell;"MK X Nagari 500";3;3;2;2;2;9
Brabham;BT62;3;2;2;1;2;9
Tushek;"TS 900 Racer Pro";2;2;2;2;2;9
Lamborghini;"Miura Concept";3;9;3;2;4;9
Lamborghini;"Diablo GT";3;9;2;3;4;9
Lamborghini;"Reventón Roadster";2;9;2;2;3;9
Lamborghini;"Sesto Elemento";3;1;2;2;2;9
Lamborghini;"Countach 25th Anniversary";3;9;3;9;6;9
Lamborghini;"Countach LPI 800-4";2;3;1;2;2;9
Bentley;"Continental GT Speed";3;9;2;3;4;9
Bugatti;Centodieci;1;1;3;1;1;9
Bugatti;EB110;3;9;2;3;4;9
Ferrari;"Monza SP1";9;9;1;2;5;9
McLaren;765LT;3;3;2;2;2;9
McLaren;"600LT Spider";3;1;1;2;1;9
Pagani;"Huayra R";2;2;3;2;2;9
Renault;Dezir;9;9;2;2;5;9
Ajlani;Drakuma;1;3;3;2;2;9
Jaguar;"XE SV Project 8";3;9;3;3;4;9
Koenigsegg;"Agera RS";1;9;2;3;3;9
Nissan;"R390 GT1";2;9;3;3;4;9
Peugeot;SR1;3;9;3;9;6;9
Ares;S1;3;1;2;2;2;9
Bugatti;Bolide;1;2;3;9;3;9
Chrysler;ME412;2;9;2;2;3;9
"Faraday Future";FFZero1;1;1;3;3;2;9
Jaguar;"XJ220S TWR";2;9;2;1;3;9
McLaren;"650S GT3";2;2;1;1;1;9
Peugeot;9X8;3;1;1;2;1;9
Porsche;"Boxster 25th Anniversary";9;9;3;3;6;9
Praga;R1;9;1;2;2;3;9
Donkervoort;"D8 GTO";3;2;1;2;2;9
Ferrari;F50;3;9;3;2;4;9
Mercedes-Benz;"AMG GT Black Series";3;3;2;2;2;9
"Spania GTA";"2015 GTA Spano";2;3;3;2;2;9
"Torino Design";"Super Sport";1;3;2;1;1;9
"FV Frangivento";"Sorpasso GT3";2;2;3;3;2;9
Jaguar;XJR-9;1;9;3;1;3;9
Kepler;Motion;3;1;3;2;2;9
Koenigsegg;CCXR;1;9;2;2;3;9
KTM;"X-Bow GTX";9;2;2;2;3;9
Lamborghini;Revuelto;2;1;2;3;2;9
Maserati;MC12;3;9;2;9;5;9
Apollo;EVO;2;2;2;2;2;9
BMW;"M4 GT3";3;9;3;2;4;9
"De Tomaso";P72;2;3;2;2;2;9
Mercedes-Benz;CLK-GTR;3;9;2;3;4;9
Porsche;"935 (2019)";2;2;1;2;1;9
Porsche;"Panamera Turbo S";3;1;2;3;2;9
Jaguar;XJR-15;3;3;2;2;2;9
Koenigsegg;CC850;1;3;3;9;4;9
McLaren;"Solus GT";3;1;1;1;1;9
Nissan;"370Z Édition Néon";9;2;1;2;3;9
Noble;"M600 Speedster";2;3;3;2;2;9
Saleen;"S7 Twin Turbo";1;9;2;1;3;9
Bugatti;"Chiron Super Sport 300+";1;2;2;9;3;9
Deus;Vayanne;1;1;3;3;2;9
Ford;"Mustang Mach-E1400";3;3;3;2;2;9
Maserati;MC20;3;3;1;1;2;9
McLaren;Artura;3;3;2;3;2;9
Rimac;"Concept S";2;2;2;2;2;9
"Aston Martin";"DBS GT Zagato";2;3;2;1;2;9
Devel;Sixteen;1;1;3;9;3;9
Ferrari;"296 GTB";3;3;2;3;2;9
Ford;"Team Fordzilla P1";2;1;3;2;2;9
Lamborghini;Invencible;3;1;2;2;2;9
Mercedes-Benz;"2022 Showcar Vision AMG";3;9;3;3;4;9
"Alfa Romeo";"Giulia GTAm";3;9;3;3;4;9
"ATS Automobili";GT;2;3;3;3;2;9
Ferrari;"Daytona SP3";3;3;3;2;2;9
"Formule E";"GEN 2 Asphalt Édition";3;1;1;1;1;9
Lamborghini;"Huracán STO";3;2;2;3;2;9
Pagani;"Utopia Coupé";2;3;1;1;1;9
"W Motors";"Lykan Édition Néon";1;3;3;2;2;9
"Aston Martin";"Vantage V12 2022";3;9;9;9;7;9
"De Tomaso";P900;3;3;2;3;2;9
"FV Frangivento";Asfanè;2;3;2;2;2;9
Lamborghini;SC63;2;2;2;3;2;9
Porsche;"911 Carrera RS 3.8";9;9;2;9;7;9
Zenvo;"Aurora Tur";1;3;3;9;4;9
"Aston Martin";DB12;3;9;2;1;3;9
Lotus;E-R9;2;1;2;3;2;9
Maserati;"MC20 GT2";3;2;2;3;2;9
McMurtry;Spéirling;3;1;1;2;1;9
Nissan;"GT-R Néon Édition";2;1;1;2;1;9
Bugatti;"Chiron Pur Sport";2;1;2;2;1;9
Ferrari;"SF90 XX Stradale";2;2;2;2;2;9
Ford;"GT Frankie Edition";2;9;3;2;4;9
Ford;"Mustang RTR Spec 5 10th Anniversary";3;9;3;2;4;9
Koenigsegg;"Jesko Absolut";1;2;2;9;3;9
Lamborghini;Autentica;2;9;3;2;4;9
Porsche;"Mission R";3;1;2;2;2;9
"Aston Martin";Valour;3;9;3;2;4;9
"Automobili Pininfarina";"Battista Edizione Nino Farina";2;1;2;9;3;9
Bugatti;Mistral;1;3;3;3;2;9
Czinger;21C;1;1;3;3;2;9
Lamborghini;Temerario;2;1;2;2;1;9
Mercedes-Benz;"Vision One-Eleven";2;2;1;1;1;9
Rimac;"Nevera Time Attack";1;1;2;3;1;9
TVR;Sagaris;3;9;2;1;3;9
"DS Automobiles";"E-TENSE Performance";3;1;3;3;2;9
Ferrari;"499P Modificata";2;2;1;1;1;9
Ford;"Shelby Super Snake";2;2;2;3;2;9
Jaguar;"XKR-S GT";3;9;3;2;4;9
McLaren;Sabre;2;1;2;3;2;9
Pininfarina;Teorema;1;9;3;3;4;9
Porsche;"911 Turbo 50 Years";3;3;3;3;3;9
Raesr;Tartarus;1;1;2;9;3;9
"FV Frangivento";GT65;2;3;3;3;2;9
HTT;"Locus Pléthore LC750";1;9;2;1;3;9
Kimera;EVO37;9;3;2;3;4;9
"Lego Technic";"Chevrolet Corvette Stingray";3;3;1;2;2;9
Porsche;"911 50 Years Porsche Design";3;9;1;2;3;9
Praga;Bohema;3;3;1;2;2;9
Ford;"GT MK IV";2;3;3;3;2;9
Hyundai;"Ioniq 5 N";9;2;2;3;4;9
Hyundai;"N Vision 74 Concept";2;9;3;9;5;9
Lexus;"Electrified Sport Concept";2;2;3;9;4;9
SSC;"Tuatara Striker";1;9;3;3;4;9
Toyota;"GR Supra 2023";9;9;2;3;5;9
Toyota;"GR Super Sport Concept";2;2;3;3;2;9
"Formule E";"GEN 3 EVO Championship Edition";3;1;2;3;2;9
"Lego Technic";"Aston Martin Valkyrie";2;3;2;3;2;9
Mercedes-Benz;"Mercedes-AMG ONE";2;3;2;1;2;9
Nissan;"Z GT4";3;3;3;2;2;9
SSC;"Ultimate Aero TT";1;9;3;2;3;9
Toyota;"GR Supra Racing Concept";3;9;2;3;4;9
Arash;Imperium;1;1;3;9;3;9
Citroën;"DS Survolt";9;3;1;2;3;9
Ferrari;"F12 Berlinetta";2;3;2;2;2;9
"Lego Technic";"Ferrari FXX K";2;3;3;2;2;9
"Lego Technic";"Lamborghini Revuelto";2;2;2;3;2;9
Mercedes-Benz;"Silver Lightning";2;2;2;3;2;9
Mosler;"Super GT";1;2;3;9;3;9
Pagani;"Zonda Cinque";2;9;2;2;3;9
"Aston Martin";"DBS 770 Ultimate";2;9;2;9;5;9
"Automobili Pininfarina";B95;2;2;2;3;2;9
BMW;"M Hybrid V8";2;3;2;2;2;9
Ford;"Mustang RTR Spec 5-FD";1;9;3;2;3;9
Koenigsegg;One:1;1;2;3;9;3;9
Lotus;Emeya;9;3;2;2;4;9
Raesr;Aglaia;1;2;3;3;2;9
Dodge;"Charger SRT Hellcat Redeye Widebody";3;9;3;3;4;9
Koenigsegg;Chimera;1;2;2;3;2;9
"Lego Technic";"Bugatti Chiron Pur Sport";2;2;2;2;2;9
McLaren;"750S Coupé";3;2;2;2;2;9
Mercedes-Benz;"C 63 AMG DTM";3;3;2;2;2;9
Tushek;"Aeon E";1;1;3;9;3;9
Zenvo;"Aurora Agil";2;2;2;2;2;9
Icona;"Vulcano Spyder";1;2;3;3;2;9
"Lego Technic";"BMW M4 GT3 EVO";3;3;1;2;2;9
Lexus;"LFA Nürburgring Package";3;9;2;2;4;9
Nilu27;Nilu;1;9;3;2;3;9
Porsche;"935 Dragonforce Edition";2;9;2;1;3;9
Rimac;"Nevera R";1;1;3;9;3;9
