Brand;Model;SettingPrice
Porsche;"935 Dragonforce Edition";"5571900"
Rimac;"Nevera R";"7741500"
Ares;Panther;"3610390"
"Ferrante Design";Elytron;"7741500"
Ferrari;"12 Cilindri";"3610390"
Lamborghini;"Huracán Sterrato";"1581800"
Mercedes-Benz;C11;"7741500"
Porsche;"911 GT3 R rennsport";"1811030"
Porsche;"919 Street";"5571900"
Porsche;"917 Living Legend";"3610390"
Porsche;"918 Spyder Asphalt Edition";"7741500"
Audi;"R8 Coupé V1O Performance Quattro";"0000000"
Audi;"R18 E-Tron Quattro 2012";"0000000"
Bentley;"Speed 8";"0000000"
Audi;"R8 LMPI 2000";"0000000"
TVR;"Cerbera Speed 12";"0000000"
Ginetta;Akula;"0000000"
Chevrolet;"Corvette Grand Sport 4th of July Edition";"0000000"
