Brand;Model;Stars;GameUpdate;CarOrder;StatOrder;Level;Epic;Evo;SettingClass
Lego Technic;Lamborghini Revuelto;6;44;63;36;8;0;0;class-b
Lego Technic;McLaren Senna GTR;3;21;14;46;10;3;0;class-a
Spania GTA;2015 GTA Spano;6;29;14;65;0;2;0;class-s
Torino Design;Super Sport;6;29;38;31;8;5;0;class-s
Vanda Electrics;Dendrobium;6;8;23;5;13;16;0;class-a
W Motors;Fenyr Supersport;6;0;23;50;13;11;0;class-s
W Motors;Lykan Hypersport;5;0;5;68;12;12;0;class-s
W Motors;Lykan Édition Néon;6;35;49;26;6;0;0;class-s
Acura;2017 NSX;4;0;20;42;11;4;24;class-c
Acura;NSX GT3 EVO;5;17;34;6;12;1;0;class-c
Ajlani;Drakuma;6;27;36;25;0;1;0;class-s
Apex;AP-0;5;14;36;14;12;8;0;class-b
Apollo;EVO;6;31;64;25;0;5;0;class-b
Apollo;IE;5;16;39;27;12;8;0;class-b
Apollo;N;5;3;44;30;12;8;0;class-b
Arash;AF8 Falcon Édition;4;24;19;46;11;3;0;class-b
Arash;AF10;4;22;11;66;11;8;0;class-b
Arash;Imperium;6;44;73;4;3;0;0;class-s
Ares;Panther;6;48;99;99;12;6;0;class-b
Ares;S1;5;28;45;12;12;8;0;class-c
Arrinera;Hussarya 33;5;7;47;23;12;8;0;class-c
Artega;Scalo Superelletra;4;7;18;40;11;4;0;class-c
Aspark;Owl;6;17;51;55;12;15;0;class-s
Audi;R18 E-Tron Quattro 2012;6;49;99;99;0;0;0;class-s
Audi;R8 Coupé V1O Performance Quattro;5;49;99;99;0;0;0;class-c
Audi;R8 LMPI 2000;6;49;99;99;0;0;0;class-s
BMW;3.0 CSL Hommage;3;0;2;54;10;4;24;class-c
BMW;I8 Roadster;4;16;12;6;11;4;0;class-d
BMW;M Hybrid V8;5;45;46;29;6;6;0;class-b
BMW;M4 GT3;4;31;12;63;11;2;0;class-b
BMW;M4 GTS;3;0;7;19;10;4;0;class-c
BMW;Z4 LCI E89;3;0;2;43;10;0;0;class-d
BXR;Bailey Blade GT1;6;13;40;16;13;16;0;class-s
Bentley;Continental GT Speed;4;26;6;55;11;7;0;class-a
Bentley;Continental GT3;4;14;32;12;11;1;0;class-d
Bentley;Mulliner Bacalar;5;14;37;18;12;8;0;class-c
Bentley;Speed 8;6;49;99;99;0;0;0;class-a
Bolwell;MK X Nagari 500;4;24;14;33;11;4;0;class-c
Brabham;BT62;5;24;42;1;12;1;0;class-c
Bugatti;Chiron Pur Sport;6;38;45;34;13;16;0;class-s
Bugatti;Chiron Super Sport 300+;6;33;57;20;8;10;0;class-s
Bugatti;La Voiture Noire;6;16;59;17;8;2;0;class-s
Bugatti;Veyron 16.4 Grand Sport Vitesse;6;20;19;63;3;7;0;class-s
Bugatti;Bolide;6;28;69;10;3;1;0;class-s
Bugatti;Centodieci;6;26;48;41;6;1;0;class-s
Bugatti;Chiron;6;0;39;23;13;16;8;class-s
Bugatti;Divo;6;16;41;44;6;3;0;class-s
Bugatti;EB110;5;26;49;8;12;8;0;class-c
Bugatti;Mistral;6;39;50;14;8;2;0;class-s
Cadillac;Cien Concept;4;0;13;51;11;8;0;class-b
Chevrolet;Camaro LT;3;0;3;39;10;0;24;class-d
Chevrolet;Camaro ZL1 50th Edition;3;0;4;49;10;4;0;class-c
Chevrolet;Corvette C7.R;5;13;36;21;12;2;0;class-d
Chevrolet;Corvette Grand Sport 4th of July Edition;6;49;99;99;0;0;0;class-a
Chevrolet;Corvette Grand Sport;5;0;35;13;12;8;0;class-b
Chevrolet;Corvette Stingray;5;13;41;32;12;8;0;class-c
Chevrolet;Corvette ZR1;5;9;15;49;12;12;15;class-a
Chrysler;ME412;6;28;12;58;0;1;0;class-s
Citroën;DS Survolt;4;44;12;44;7;0;0;class-c
Citroën;GT by Citroën;6;16;34;19;13;16;0;class-a
Czinger;21C;6;39;60;48;13;6;0;class-s
Deus;Vayanne;6;33;63;39;13;2;0;class-s
Devel;Sixteen;6;34;71;1;12;1;0;class-s
Dodge;Challenger Pack 392 Hemi Scat;3;0;9;32;10;0;0;class-d
Dodge;Challenger SRT8;3;0;1;56;10;4;0;class-c
Dodge;Charger SRT Hellcat Redeye Widebody;5;46;57;99;6;0;0;class-c
Dodge;Viper ACR;4;0;13;27;11;4;0;class-c
Dodge;Viper GTS;4;0;5;59;11;8;0;class-a
Donkervoort;D8 GTO;3;29;11;34;10;4;0;class-c
Drako;GTE;4;21;22;53;11;8;0;class-b
Ferrari;12 Cilindri;6;48;99;99;3;0;0;class-b
Ferrari;296 GTB;5;34;52;20;12;8;0;class-c
Ferrari;488 GTB Challenge EVO;6;15;62;6;13;8;0;class-b
Ferrari;488 GTB;4;0;20;50;11;8;0;class-b
Ferrari;499P Modificata;6;40;59;7;13;15;0;class-a
Ferrari;599XX EVO;5;15;44;2;12;3;0;class-c
Ferrari;812 Superfast;5;6;13;50;12;12;0;class-a
Ferrari;Daytona SP3;5;35;55;13;12;4;0;class-c
Ferrari;Enzo Ferrari;5;15;42;23;12;8;21;class-b
Ferrari;F12 Berlinetta;5;44;38;34;8;0;0;class-b
Ferrari;F8 Tributo;6;15;44;4;13;16;0;class-a
Ferrari;FXX K;5;0;2;73;12;12;0;class-s
Ferrari;LaFerrari Aperta;6;6;43;13;13;16;0;class-a
Ferrari;Monza SP1;4;26;26;50;11;4;0;class-c
Ferrari;SF90 Stradale;6;15;16;57;13;16;14;class-s
Ferrari;SF90 XX Stradale;6;38;41;33;13;1;0;class-a
Ferrari;F12TDF;5;0;30;43;12;8;0;class-b
Ferrari;F40;5;15;30;53;12;3;0;class-c
Ferrari;F50;4;29;4;67;9;2;0;class-b
Ferrari;J50;4;1;4;60;11;8;0;class-a
Ferrari;LaFerrari;5;0;7;53;12;12;0;class-a
Ferrari;Roma;4;18;10;54;11;8;0;class-b
Ford;GT Frankie Edition;5;38;19;38;8;0;0;class-a
Ford;GT MK II;4;13;15;49;11;6;0;class-b
Ford;GT MK IV;6;42;67;62;13;2;0;class-b
Ford;Mustang Mach-E1400;5;33;42;9;12;1;0;class-d
Ford;Mustang RTR Spec 5 10th Anniversary;4;38;9;60;0;0;0;class-b
Ford;Mustang RTR Spec 5-FD;6;45;35;36;12;14;0;class-s
Ford;Shelby GR-1;4;9;15;35;11;4;0;class-c
Ford;Shelby GT350R;4;0;21;28;11;4;24;class-d
Ford;Shelby Super Snake;6;40;48;37;12;2;0;class-a
Ford;Team Fordzilla P1;6;34;55;39;12;10;0;class-a
Ford;GT;4;0;7;61;11;8;0;class-b
Genty;Akylone;6;2;47;29;13;16;0;class-a
Ginetta;Akula;6;49;99;99;0;0;0;class-b
Ginetta;G60;4;6;26;11;11;4;0;class-d
Glickenhaus;003S;4;0;24;48;11;8;0;class-b
Glickenhaus;004C;5;22;40;3;12;8;0;class-d
Glickenhaus;007S;6;22;33;36;13;16;0;class-a
HTT;Locus Pléthore LC750;6;41;55;13;3;1;0;class-s
Hennessey;Venom F5;6;20;66;5;6;2;0;class-s
Honda;Civic Type-R;4;10;29;14;11;4;0;class-d
Hyundai;Ioniq 5 N;4;42;22;31;11;1;0;class-d
Hyundai;N Vision 74 Concept;6;42;11;76;6;0;0;class-s
Icona;Vulcano Spyder;6;47;78;99;0;1;0;class-s
Icona;Vulcano Titanium;5;0;4;71;12;12;0;class-s
Infiniti;Projet Black S;4;17;16;24;11;4;0;class-d
Italdesign;DaVinci;4;18;11;22;11;4;0;class-d
Italdesign;Zerouno;4;9;17;58;11;8;0;class-b
Jaguar;F-Type SVR;4;0;3;68;11;8;0;class-b
Jaguar;XE SV Project 8;5;27;29;51;0;0;0;class-c
Jaguar;XJ220S TWR;6;28;9;62;8;8;0;class-s
Jaguar;XKR-S GT;4;40;9;48;11;0;0;class-c
Jaguar;C-X75;5;14;16;31;12;12;0;class-a
Jaguar;XJR-15;4;32;23;36;7;1;0;class-c
Jaguar;XJR-9;6;30;56;2;10;5;0;class-a
KTM;X-Bow GTX;3;30;6;38;10;0;0;class-d
Kepler;Motion;3;30;21;56;5;1;0;class-b
Kimera;EVO37;5;41;43;1;8;3;0;class-d
Koenigsegg;Agera RS;6;27;54;8;13;7;0;class-s
Koenigsegg;Jesko Absolut;6;38;70;3;13;5;0;class-s
Koenigsegg;CC850;6;32;67;12;10;11;0;class-s
Koenigsegg;CCXR;6;30;58;19;10;2;0;class-s
Koenigsegg;Chimera;6;46;78;99;3;0;0;class-s
Koenigsegg;Gemera;6;22;64;46;13;4;0;class-s
Koenigsegg;Jesko;6;6;46;9;13;12;0;class-s
Koenigsegg;One:1;6;45;62;21;6;6;0;class-s
Koenigsegg;Regera;6;0;31;22;13;16;0;class-s
Lamborghini;Aventador J;5;5;29;25;12;12;0;class-a
Lamborghini;Aventador SV Coupé;5;0;11;51;12;12;0;class-a
Lamborghini;Aventador SVJ Roadster;6;20;21;27;13;16;0;class-a
Lamborghini;Countach 25th Anniversary;4;25;20;35;11;4;0;class-d
Lamborghini;Countach LPI 800-4;6;25;57;3;10;16;0;class-a
Lamborghini;Diablo GT;5;25;46;15;12;8;0;class-c
Lamborghini;Essenza SCV12;5;18;48;26;12;8;0;class-b
Lamborghini;Gallardo LP560-4;5;12;51;4;12;8;0;class-c
Lamborghini;Huracán Evo Spyder;5;4;55;7;12;8;0;class-b
Lamborghini;Huracán STO;4;35;16;55;0;0;0;class-b
Lamborghini;Huracán Sterrato;5;48;99;99;6;0;0;class-d
Lamborghini;Huracán Super Trofeo Evo;5;16;38;5;12;7;0;class-d
Lamborghini;Miura Concept;5;25;39;31;12;3;0;class-c
Lamborghini;Murcielago LP 640 Roadster;5;18;32;41;12;8;24;class-b
Lamborghini;Reventón Roadster;5;25;41;24;10;3;0;class-b
Lamborghini;Sesto Elemento;6;25;60;17;13;12;0;class-b
Lamborghini;Sián FKP 37;6;12;34;35;12;9;0;class-s
Lamborghini;Terzo Millennio;6;0;20;64;13;16;0;class-s
Lamborghini;Asterion;4;0;8;59;11;7;0;class-b
Lamborghini;Autentica;5;38;3;75;10;12;0;class-s
Lamborghini;Centenario;5;0;1;74;12;12;12;class-s
Lamborghini;Egoista;6;0;10;69;13;16;0;class-s
Lamborghini;Invencible;5;34;54;32;12;8;0;class-b
Lamborghini;Revuelto;6;30;70;19;13;12;0;class-b
Lamborghini;SC18;6;12;40;32;13;8;0;class-a
Lamborghini;SC20;6;20;45;26;10;4;0;class-a
Lamborghini;SC63;5;36;49;37;12;12;0;class-b
Lamborghini;Temerario;6;39;71;15;13;12;0;class-b
Lamborghini;Veneno;6;12;7;66;13;4;0;class-s
Lexus;Electrified Sport Concept;6;42;58;61;12;7;0;class-a
Lexus;LFA Nürburgring Package;5;47;58;99;8;1;0;class-c
Lotus;Elise Sprint 220;4;1;17;2;11;4;0;class-d
Lotus;Evora Sport 410;3;0;5;52;10;4;0;class-c
Lotus;E-R9;5;37;72;31;12;12;0;class-b
Lotus;Emeya;4;45;18;8;7;0;0;class-d
Lotus;Emira;4;22;24;25;11;4;0;class-d
Lotus;Evija;6;10;65;22;13;12;0;class-b
Maserati;MC20 GT2;5;37;43;39;6;5;0;class-c
Maserati;Alfieri;4;2;21;46;11;4;0;class-c
Maserati;MC12;5;30;36;38;10;2;0;class-c
Maserati;MC20;5;33;31;10;10;2;0;class-b
Mazda;Furai;4;9;33;19;11;4;0;class-d
Mazzanti;Evantra Millecavalli;6;18;99;33;0;7;0;class-s
McLaren;570S Spider;6;2;27;34;13;16;0;class-a
McLaren;600LT Spider;5;26;50;9;12;3;0;class-b
McLaren;650S GT3;6;28;39;9;13;8;0;class-a
McLaren;750S Coupé;5;46;71;99;6;1;0;class-b
McLaren;F1 LM;6;12;66;4;13;12;0;class-b
McLaren;Senna GTR;5;23;20;41;12;12;15;class-a
McLaren;Solus GT;5;32;53;2;12;2;0;class-b
McLaren;765LT;5;26;33;38;12;8;0;class-b
McLaren;Artura;4;33;18;57;11;8;0;class-b
McLaren;Elva;5;20;25;39;12;8;0;class-b
McLaren;GT;5;22;53;9;12;8;0;class-c
McLaren;P1;5;0;9;54;12;12;0;class-a
McLaren;Sabre;6;40;32;48;13;9;0;class-a
McLaren;Senna;6;7;18;37;13;16;0;class-s
McLaren;Speedtail;6;14;29;27;13;16;0;class-s
McMurtry;Spéirling;5;37;12;52;10;8;0;class-a
Mercedes-Benz;2022 Showcar Vision AMG;4;34;25;43;11;4;0;class-c
Mercedes-Benz;AMG GT Black Series;5;29;54;14;12;8;0;class-c
Mercedes-Benz;AMG GT S;3;0;6;16;10;4;0;class-c
Mercedes-Benz;C 63 AMG DTM;5;46;57;99;3;2;0;class-c
Mercedes-Benz;Mercedes-AMG ONE;6;43;42;16;13;4;0;class-a
Mercedes-Benz;SLR McLaren;5;5;45;21;12;8;0;class-b
Mercedes-Benz;Silver Lightning;6;44;63;8;12;5;0;class-a
Mercedes-Benz;Vision One-Eleven;6;39;61;1;13;16;0;class-a
Mercedes-Benz;C11;6;48;26;99;3;0;0;class-s
Mercedes-Benz;CLK-GTR;5;31;33;21;12;4;0;class-c
Mitsubishi;Lancer Evolution;3;0;1;42;10;0;0;class-d
Mosler;Super GT;6;44;68;6;6;7;0;class-s
Naran;Hyper Coupé;6;22;28;61;3;1;0;class-s
Nilu27;Nilu;6;47;78;99;6;8;0;class-s
Nio;EP9;4;17;3;58;11;8;0;class-a
Nissan;370Z Édition Néon;4;32;28;7;11;0;0;class-d
Nissan;37OZ Nismo;3;0;5;29;10;0;0;class-d
Nissan;GT-R Nismo;4;0;2;62;11;8;0;class-a
Nissan;GT-R Néon Édition;6;37;15;56;10;5;0;class-s
Nissan;GTR-50 Italdesign;5;22;58;28;12;8;0;class-b
Nissan;Leaf Nismo RC;3;9;4;41;10;0;0;class-d
Nissan;R390 GT1;5;27;28;44;12;8;0;class-b
Nissan;Z GT4;5;43;56;17;10;3;0;class-c
Noble;M600 Speedster;6;32;51;44;13;4;0;class-a
Pagani;Huayra BC;6;0;38;24;13;16;0;class-a
Pagani;Huayra R;6;26;69;12;13;2;0;class-b
Pagani;Utopia Coupé;6;35;46;6;13;7;0;class-a
Pagani;Zonda Cinque;6;44;24;18;10;0;0;class-a
Pagani;Zonda HP Barchetta;5;21;10;47;12;2;0;class-a
Pagani;Zonda R;6;22;31;43;13;10;0;class-a
Pagani;Imola;6;18;54;11;13;16;0;class-a
Peugeot;9X8;6;28;25;15;13;16;0;class-a
Peugeot;Onyx;6;16;30;20;13;14;0;class-a
Peugeot;SR1;4;27;13;37;11;0;0;class-d
Pininfarina;H2 Speed;4;0;16;37;11;4;0;class-c
Pininfarina;Teorema;6;40;22;54;0;2;0;class-s
Porsche;718 Cayman GT4 Clubsport;5;11;40;3;12;8;0;class-c
Porsche;718 Cayman;4;0;15;27;11;4;0;class-d
Porsche;911 50 Years Porsche Design;4;41;22;7;4;1;0;class-c
Porsche;911 Carrera RS 3.8;4;36;14;36;11;1;0;class-d
Porsche;911 GT1 Evolution;4;11;6;64;11;8;0;class-b
Porsche;911 GT2 RS Clubsport;6;11;37;14;13;16;0;class-a
Porsche;911 GT3 R rennsport;5;48;50;99;10;1;0;class-c
Porsche;911 GT3 RS;6;7;61;1;13;12;0;class-b
Porsche;911 GTS Coupé;3;0;1;71;10;4;0;class-b
Porsche;911 Targa 4S;4;6;23;34;11;4;0;class-d
Porsche;911 Turbo 50 Years;4;40;23;52;4;2;0;class-b
Porsche;917 Living Legend;5;48;99;99;6;5;0;class-b
Porsche;918 Spyder Asphalt Edition;6;48;13;99;8;14;0;class-s
Porsche;918 Spyder;5;0;22;45;12;12;0;class-a
Porsche;919 Street;6;48;99;99;8;4;0;class-a
Porsche;935 (2019);6;31;35;17;13;16;0;class-a
Porsche;935 Dragonforce Edition;6;47;64;99;8;4;0;class-a
Porsche;Boxster 25th Anniversary;3;28;3;55;10;2;0;class-c
Porsche;Carrera GT;5;11;56;3;12;8;0;class-b
Porsche;Mission R;3;38;24;41;10;4;0;class-c
Porsche;Panamera Turbo S;5;31;50;11;12;8;0;class-c
Porsche;Taycan Turbo S;4;11;30;17;11;4;0;class-d
Praga;Bohema;5;41;31;10;8;1;0;class-c
Praga;R1;4;28;25;18;11;0;0;class-d
Puritalia;Berlinetta;5;23;51;8;12;8;0;class-b
Raesr;Tachyon Speed;6;21;6;67;8;3;0;class-s
Raesr;Aglaia;6;45;52;40;6;1;0;class-s
Raesr;Tartarus;6;40;72;2;0;0;0;class-s
Renault;R.S. 01;5;19;32;24;12;8;0;class-c
Renault;Dezir;4;26;10;15;11;4;0;class-d
Renault;TreZor;4;21;27;16;11;4;0;class-d
Rezvani;Beast X;4;0;8;45;11;4;0;class-c
Rimac;C TWO;6;0;99;42;4;0;0;class-s
Rimac;Concept S;6;33;26;51;6;3;0;class-s
Rimac;Nevera R;6;47;78;99;3;0;0;class-s
Rimac;Nevera Time Attack;6;39;47;53;13;16;0;class-s
Rimac;Concept_One;6;21;52;28;10;12;0;class-a
Rimac;Nevera;6;9;53;43;13;11;0;class-s
SSC;Tuatara Striker;6;42;61;29;13;2;0;class-s
SSC;Ultimate Aero TT;6;43;43;38;8;6;0;class-s
SSC;Tuatara;6;13;56;7;13;16;0;class-s
Saleen;S7 Twin Turbo;6;32;32;18;3;1;0;class-s
Saleen;S1;4;22;19;22;11;4;0;class-c
Sin;R1 550;5;2;40;18;12;8;0;class-b
TVR;Cerbera Speed 12;6;49;99;99;0;0;0;class-s
TVR;Griffith;4;7;31;20;11;4;0;class-d
TVR;Sagaris;4;39;17;29;11;2;0;class-c
Techrules;AT96 track version;6;9;50;23;13;16;0;class-a
Toroidion;1MW;6;21;44;11;0;1;0;class-s
Toyota;GR Super Sport Concept;5;42;52;47;6;1;0;class-b
Toyota;GR Supra 2023;4;42;19;40;11;2;0;class-d
Toyota;GR Supra Racing Concept;5;43;35;13;12;4;0;class-d
Trion;Nemesis;6;0;13;32;13;16;0;class-s
Tushek;Aeon E;6;46;71;99;8;2;0;class-s
Tushek;TS 900 Racer Pro;6;24;42;45;0;1;0;class-s
Ultima;RS;6;23;33;30;13;16;0;class-s
VLF;Force 1 V10;5;0;18;42;12;12;0;class-a
Vencer;Sarthe;5;3;35;30;12;8;0;class-c
Vision;1789;6;23;21;59;13;16;0;class-s
Volkswagen;Electric R;5;21;39;4;12;1;0;class-d
Volkswagen;W12 Coupe;6;19;68;5;13;12;0;class-b
Volkswagen;XL Sport Concept;3;0;7;33;10;0;0;class-d
Zenvo;Aurora Agil;6;46;63;99;6;0;0;class-a
Zenvo;Aurora Tur;6;36;65;15;13;3;0;class-s
Zenvo;TS1 GT Anniversary;6;3;25;52;13;16;0;class-s
Zenvo;TSR-S;5;19;59;20;12;2;0;class-b
