Brand;Model;SettingClass
Lamborghini;"Reventón Roadster";class-b
Lamborghini;"Countach LPI 800-4";class-a
Lamborghini;"Sesto Elemento";class-b
Bentley;"Continental GT Speed";class-a
Bugatti;Centodieci;class-s
Bugatti;EB110;class-c
Ferrari;"Monza SP1";class-c
McLaren;765LT;class-b
McLaren;"600LT Spider";class-b
Pagani;"Huayra R";class-b
Renault;Dezir;class-d
Ajlani;Drakuma;class-s
Jaguar;"XE SV Project 8";class-c
Koenigsegg;"Agera RS";class-s
Nissan;"R390 GT1";class-b
Peugeot;SR1;class-d
Ares;S1;class-c
Bugatti;Bolide;class-s
Chrysler;ME412;class-s
"Faraday Future";FFZero1;class-s
Jaguar;"XJ220S TWR";class-s
McLaren;"650S GT3";class-a
Peugeot;9X8;class-a
Porsche;"Boxster 25th Anniversary";class-c
Praga;R1;class-d
Donkervoort;"D8 GTO";class-c
Ferrari;F50;class-b
Mercedes-Benz;"AMG GT Black Series";class-c
"Spania GTA";"2015 GTA Spano";class-s
"Torino Design";"Super Sport";class-s
"FV Frangivento";"Sorpasso GT3";class-s
Jaguar;XJR-9;class-a
Kepler;Motion;class-b
Koenigsegg;CCXR;class-s
KTM;"X-Bow GTX";class-d
Lamborghini;Revuelto;class-b
Maserati;MC12;class-c
Apollo;EVO;class-b
BMW;"M4 GT3";class-b
"De Tomaso";P72;class-a
Mercedes-Benz;CLK-GTR;class-c
Porsche;"Panamera Turbo S";class-c
Porsche;"935 (2019)";class-a
Jaguar;XJR-15;class-c
Koenigsegg;CC850;class-s
McLaren;"Solus GT";class-b
Nissan;"370Z Édition Néon";class-d
Noble;"M600 Speedster";class-a
Saleen;"S7 Twin Turbo";class-s
Bugatti;"Chiron Super Sport 300+";class-s
Deus;Vayanne;class-s
Ford;"Mustang Mach-E1400";class-d
Maserati;MC20;class-b
McLaren;Artura;class-b
Rimac;"Concept S";class-s
"Aston Martin";"DBS GT Zagato";class-a
Devel;Sixteen;class-s
Ferrari;"296 GTB";class-c
Ford;"Team Fordzilla P1";class-a
Lamborghini;Invencible;class-b
Mercedes-Benz;"2022 Showcar Vision AMG";class-c
"Alfa Romeo";"Giulia GTAm";class-d
"ATS Automobili";GT;class-s
Ferrari;"Daytona SP3";class-c
"Formule E";"GEN 2 Asphalt Édition";class-c
Lamborghini;"Huracán STO";class-b
Pagani;"Utopia Coupé";class-a
"W Motors";"Lykan Édition Néon";class-s
"Aston Martin";"Vantage V12 2022";class-d
"De Tomaso";P900;class-c
"FV Frangivento";Asfanè;class-a
Lamborghini;SC63;class-b
Porsche;"911 Carrera RS 3.8";class-d
Zenvo;"Aurora Tur";class-s
"Aston Martin";DB12;class-b
Lotus;E-R9;class-b
Maserati;"MC20 GT2";class-c
McMurtry;Spéirling;class-a
Nissan;"GT-R Néon Édition";class-s
Bugatti;"Chiron Pur Sport";class-s
Ferrari;"SF90 XX Stradale";class-a
Ford;"GT Frankie Edition";class-a
Ford;"Mustang RTR Spec 5 10th Anniversary";class-b
Koenigsegg;"Jesko Absolut";class-s
Lamborghini;Autentica;class-s
Porsche;"Mission R";class-c
"Aston Martin";Valour;class-b
"Automobili Pininfarina";"Battista Edizione Nino Farina";class-a
Bugatti;Mistral;class-s
Czinger;21C;class-s
Lamborghini;Temerario;class-b
Mercedes-Benz;"Vision One-Eleven";class-a
Rimac;"Nevera Time Attack";class-s
TVR;Sagaris;class-c
"DS Automobiles";"E-TENSE Performance";class-d
Ferrari;"499P Modificata";class-a
Ford;"Shelby Super Snake";class-a
Jaguar;"XKR-S GT";class-c
McLaren;Sabre;class-a
Pininfarina;Teorema;class-s
Porsche;"911 Turbo 50 Years";class-b
Raesr;Tartarus;class-s
"FV Frangivento";GT65;class-b
HTT;"Locus Pléthore LC750";class-s
Kimera;EVO37;class-d
"Lego Technic";"Chevrolet Corvette Stingray";class-b
Porsche;"911 50 Years Porsche Design";class-c
Praga;Bohema;class-c
Ford;"GT MK IV";class-b
Hyundai;"N Vision 74 Concept";class-s
Hyundai;"Ioniq 5 N";class-d
Lexus;"Electrified Sport Concept";class-a
SSC;"Tuatara Striker";class-s
Toyota;"GR Supra 2023";class-d
Toyota;"GR Super Sport Concept";class-b
"Formule E";"GEN 3 EVO Championship Edition";class-b
"Lego Technic";"Aston Martin Valkyrie";class-a
Mercedes-Benz;"Mercedes-AMG ONE";class-a
Nissan;"Z GT4";class-c
SSC;"Ultimate Aero TT";class-s
Toyota;"GR Supra Racing Concept";class-d
Arash;Imperium;class-s
Citroën;"DS Survolt";class-c
Ferrari;"F12 Berlinetta";class-b
"Lego Technic";"Ferrari FXX K";class-a
"Lego Technic";"Lamborghini Revuelto";class-b
Mercedes-Benz;"Silver Lightning";class-a
Mosler;"Super GT";class-s
Pagani;"Zonda Cinque";class-a
"Aston Martin";"DBS 770 Ultimate";class-c
"Automobili Pininfarina";B95;class-a
BMW;"M Hybrid V8";class-b
Ford;"Mustang RTR Spec 5-FD";class-s
Koenigsegg;One:1;class-s
Lotus;Emeya;class-d
Raesr;Aglaia;class-s
Dodge;"Charger SRT Hellcat Redeye Widebody";class-c
Koenigsegg;Chimera;class-s
"Lego Technic";"Bugatti Chiron Pur Sport";class-s
McLaren;"750S Coupé";class-b
Mercedes-Benz;"C 63 AMG DTM";class-c
Tushek;"Aeon E";class-s
Zenvo;"Aurora Agil";class-a
Icona;"Vulcano Spyder";class-s
"Lego Technic";"BMW M4 GT3 EVO";class-b
Lexus;"LFA Nürburgring Package";class-c
Nilu27;Nilu;class-s
Porsche;"935 Dragonforce Edition";class-a
Rimac;"Nevera R";class-s
Ares;Panther;class-b
"Ferrante Design";Elytron;class-s
Ferrari;"12 Cilindri";class-b
Lamborghini;"Huracán Sterrato";class-d
Mercedes-Benz;C11;class-s
Porsche;"911 GT3 R rennsport";class-c
Porsche;"919 Street";class-a
Porsche;"917 Living Legend";class-b
Porsche;"918 Spyder Asphalt Edition";class-s
