Brand;Model;Speed;Acceleration;Handling;Nitro;Mark;Division
Ares;S1;3;1;2;2;2;0
Bugatti;Bolide;1;2;3;9;3;0
Chrysler;ME412;2;9;2;2;3;0
"Faraday Future";FFZero1;1;1;3;3;2;0
Jaguar;"XJ220S TWR";2;9;2;1;3;0
McLaren;"650S GT3";2;2;1;1;1;0
Peugeot;9X8;3;1;1;2;1;0
Porsche;"Boxster 25th Anniversary";9;9;3;3;6;0
Praga;R1;9;1;2;2;3;0
Donkervoort;"D8 GTO";3;2;1;2;2;0
Ferrari;F50;3;9;3;2;4;0
Mercedes-Benz;"AMG GT Black Series";3;3;2;2;2;0
"Spania GTA";"2015 GTA Spano";2;3;3;2;2;0
"Torino Design";"Super Sport";1;3;2;1;1;0
"FV Frangivento";"Sorpasso GT3";2;2;3;3;2;0
Jaguar;XJR-9;1;9;3;1;3;0
Kepler;Motion;3;1;3;2;2;0
Koenigsegg;CCXR;1;9;2;2;3;0
KTM;"X-Bow GTX";9;2;2;2;3;0
Lamborghini;Revuelto;2;1;2;3;2;0
Maserati;MC12;3;9;2;9;5;0
Apollo;EVO;2;2;2;2;2;0
BMW;"M4 GT3";3;9;3;2;4;0
"De Tomaso";P72;2;3;2;2;2;0
Mercedes-Benz;CLK-GTR;3;9;2;3;4;0
Porsche;"Panamera Turbo S";3;1;2;3;2;0
Porsche;"935 (2019)";2;2;1;2;1;0
Jaguar;XJR-15;3;3;2;2;2;0
Koenigsegg;CC850;1;3;3;9;4;0
McLaren;"Solus GT";3;1;1;1;1;0
Nissan;"370Z Édition Néon";9;2;1;2;3;0
Noble;"M600 Speedster";2;3;3;2;2;0
Saleen;"S7 Twin Turbo";1;9;2;1;3;0
Bugatti;"Chiron Super Sport 300+";1;2;2;9;3;0
Deus;Vayanne;1;1;3;3;2;0
Ford;"Mustang Mach-E1400";3;3;3;2;2;0
Maserati;MC20;3;3;1;1;2;0
McLaren;Artura;3;3;2;3;2;0
Rimac;"Concept S";2;2;2;2;2;0
"Aston Martin";"DBS GT Zagato";2;3;2;1;2;0
Devel;Sixteen;1;1;3;9;3;0
Ferrari;"296 GTB";3;3;2;3;2;0
Ford;"Team Fordzilla P1";2;1;3;2;2;0
Lamborghini;Invencible;3;1;2;2;2;0
Mercedes-Benz;"2022 Showcar Vision AMG";3;9;3;3;4;0
"Alfa Romeo";"Giulia GTAm";3;9;3;3;4;0
"ATS Automobili";GT;2;3;3;3;2;0
Ferrari;"Daytona SP3";3;3;3;2;2;0
"Formule E";"GEN 2 Asphalt Édition";3;1;1;1;1;0
Lamborghini;"Huracán STO";3;2;2;3;2;0
Pagani;"Utopia Coupé";2;3;1;1;1;0
"W Motors";"Lykan Édition Néon";1;3;3;2;2;0
"Aston Martin";"Vantage V12 2022";3;9;9;9;7;0
"De Tomaso";P900;3;3;2;3;2;0
"FV Frangivento";Asfanè;2;3;2;2;2;0
Lamborghini;SC63;2;2;2;3;2;0
Porsche;"911 Carrera RS 3.8";9;9;2;9;7;0
Zenvo;"Aurora Tur";1;3;3;9;4;0
"Aston Martin";DB12;3;9;2;1;3;0
Lotus;E-R9;2;1;2;3;2;0
Maserati;"MC20 GT2";3;2;2;3;2;0
McMurtry;Spéirling;3;1;1;2;1;0
Nissan;"GT-R Néon Édition";2;1;1;2;1;0
Bugatti;"Chiron Pur Sport";2;1;2;2;1;0
Ferrari;"SF90 XX Stradale";2;2;2;2;2;0
Ford;"Mustang RTR Spec 5 10th Anniversary";3;9;3;2;4;0
Ford;"GT Frankie Edition";2;9;3;2;4;0
Koenigsegg;"Jesko Absolut";1;2;2;9;3;0
Lamborghini;Autentica;2;9;3;2;4;0
Porsche;"Mission R";3;1;2;2;2;0
"Aston Martin";Valour;3;9;3;2;4;0
"Automobili Pininfarina";"Battista Edizione Nino Farina";2;1;2;3;2;0
Bugatti;Mistral;1;3;3;3;2;0
Czinger;21C;1;1;3;3;2;0
Lamborghini;Temerario;2;1;2;2;1;0
Mercedes-Benz;"Vision One-Eleven";2;2;1;1;1;0
Rimac;"Nevera Time Attack";1;1;2;3;1;0
TVR;Sagaris;3;9;2;1;3;0
"DS Automobiles";"E-TENSE Performance";3;1;3;3;2;0
Ferrari;"499P Modificata";2;2;1;1;1;0
Ford;"Shelby Super Snake";2;2;2;3;2;0
Jaguar;"XKR-S GT";3;9;3;2;4;0
McLaren;Sabre;2;1;2;3;2;0
Pininfarina;Teorema;1;9;3;3;4;0
Porsche;"911 Turbo 50 Years";3;3;3;3;3;0
Raesr;Tartarus;1;1;2;9;3;0
"FV Frangivento";GT65;2;3;3;3;2;0
HTT;"Locus Pléthore LC750";1;9;2;1;3;0
Kimera;EVO37;9;3;2;3;4;0
"Lego Technic";"Chevrolet Corvette Stingray";3;3;1;2;2;0
Porsche;"911 50 Years Porsche Design";3;9;1;2;3;0
Praga;Bohema;3;3;1;2;2;0
Ford;"GT MK IV";2;3;3;3;2;0
Hyundai;"N Vision 74 Concept";2;9;3;9;5;0
Hyundai;"Ioniq 5 N";9;2;2;3;4;0
Lexus;"Electrified Sport Concept";2;2;3;9;4;0
SSC;"Tuatara Striker";1;9;3;3;4;0
Toyota;"GR Supra 2023";9;9;2;3;5;0
Toyota;"GR Super Sport Concept";2;2;3;3;2;0
"Formule E";"GEN 3 EVO Championship Edition";3;1;2;3;2;0
"Lego Technic";"Aston Martin Valkyrie";2;3;2;3;2;0
Mercedes-Benz;"Mercedes-AMG ONE";2;3;2;1;2;0
Nissan;"Z GT4";3;3;3;2;2;0
SSC;"Ultimate Aero TT";1;9;3;2;3;0
Toyota;"GR Supra Racing Concept";3;9;2;3;4;0
Arash;Imperium;1;1;3;9;3;0
Citroën;"DS Survolt";9;3;1;2;3;0
Ferrari;"F12 Berlinetta";2;3;2;2;2;0
"Lego Technic";"Lamborghini Revuelto";2;2;2;3;2;0
"Lego Technic";"Ferrari FXX K";2;3;3;2;2;0
Mercedes-Benz;"Silver Lightning";2;2;2;3;2;0
Mosler;"Super GT";1;2;3;9;3;0
Pagani;"Zonda Cinque";2;9;2;2;3;0
"Aston Martin";"DBS 770 Ultimate";2;9;2;9;5;0
"Automobili Pininfarina";B95;2;2;2;3;2;0
BMW;"M Hybrid V8";2;3;2;2;2;0
Ford;"Mustang RTR Spec 5-FD";1;9;3;2;3;0
Koenigsegg;One:1;1;2;3;9;3;0
Lotus;Emeya;9;3;2;2;4;0
Raesr;Aglaia;1;2;3;3;2;0
Dodge;"Charger SRT Hellcat Redeye Widebody";3;9;3;3;4;0
Koenigsegg;Chimera;1;2;2;3;2;0
"Lego Technic";"Bugatti Chiron Pur Sport";2;2;2;2;2;0
McLaren;"750S Coupé";3;2;2;2;2;0
Mercedes-Benz;"C 63 AMG DTM";3;3;2;2;2;0
Tushek;"Aeon E";1;1;3;9;3;0
Zenvo;"Aurora Agil";2;2;2;2;2;0
Icona;"Vulcano Spyder";1;2;3;3;2;0
"Lego Technic";"BMW M4 GT3 EVO";3;3;1;2;2;0
Lexus;"LFA Nürburgring Package";3;9;2;2;4;0
Nilu27;Nilu;1;9;3;2;3;0
Porsche;"935 Dragonforce Edition";2;9;2;1;3;0
Rimac;"Nevera R";1;1;3;9;3;0
Ares;Panther;9;9;9;9;9;0
"Ferrante Design";Elytron;9;9;9;9;9;0
Ferrari;"12 Cilindri";9;9;9;9;9;0
Lamborghini;"Huracán Sterrato";9;9;9;9;9;0
Mercedes-Benz;C11;9;9;9;9;9;0
Porsche;"919 Street";9;9;9;9;9;0
Porsche;"917 Living Legend";9;9;9;9;9;0
Porsche;"911 GT3 R rennsport";9;9;9;9;9;0
Porsche;"918 Spyder Asphalt Edition";1;9;3;3;4;0
